#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5040,AEB,Abu Dhabi bank holidays,97
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5040,AEB,New Years Day,20170101T000000,Yes,20171122T000000
REC,5040,AEB,Ascension of Muhammad Holiday Pe,20170422T000000,Yes,20171122T000000
REC,5040,AEB,Eid Al Fiter Holiday Period,20170625T000000,Yes,20171122T000000
REC,5040,AEB,Eid Al Fiter Holiday Period,20170626T000000,Yes,20171122T000000
REC,5040,AEB,Eid Al Fiter Holiday Period,20170627T000000,Yes,20171122T000000
REC,5040,AEB,Eid Al Adha Holiday Period,20170831T000000,Yes,20171122T000000
REC,5040,AEB,Eid Al Adha Holiday Period,20170902T000000,Yes,20171122T000000
REC,5040,AEB,Al Hijrah New Year Holiday Perio,20170921T000000,Yes,20171122T000000
REC,5040,AEB,Prophet Muhammads Birthday Holid,20171130T000000,Yes,20171122T000000
REC,5040,AEB,National Day,20171202T000000,Yes,20171122T000000
REC,5040,AEB,New Years Day,20180101T000000,Yes,20181106T000000
REC,5040,AEB,Ascension of Muhammad Holiday Pe,20180414T000000,Yes,20181106T000000
REC,5040,AEB,Eid Al Fiter Holiday Period,20180616T000000,Yes,20181106T000000
REC,5040,AEB,Eid Al Fiter Holiday Period,20180617T000000,Yes,20181106T000000
REC,5040,AEB,Eid Al Adha Holiday Period,20180820T000000,Yes,20181106T000000
REC,5040,AEB,Eid Al Adha Holiday Period,20180821T000000,Yes,20181106T000000
REC,5040,AEB,Eid Al Adha Holiday Period,20180822T000000,Yes,20181106T000000
REC,5040,AEB,Eid Al Adha Holiday Period,20180823T000000,Yes,20181106T000000
REC,5040,AEB,Al Hijrah New Year Holiday Perio,20180913T000000,Yes,20181106T000000
REC,5040,AEB,Prophet Muhammads Birthday Holid,20181118T000000,Yes,20181106T000000
REC,5040,AEB,National Day,20181202T000000,Yes,20181106T000000
REC,5040,AEB,National Day,20181203T000000,Yes,20181106T000000
