#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5045,AUB,Auckland Bank Holidays,1
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5045,AUB,New Years Day,20160101T000000,Yes,20160804T000000
REC,5045,AUB,Public Holiday Observed,20160104T000000,Yes,20160804T000000
REC,5045,AUB,Auckland Anniversary Day,20160201T000000,Yes,20160804T000000
REC,5045,AUB,Waitangi Day Observed,20160208T000000,Yes,20160804T000000
REC,5045,AUB,Good Friday,20160325T000000,Yes,20160804T000000
REC,5045,AUB,Easter Monday,20160328T000000,Yes,20160804T000000
REC,5045,AUB,Anzac Day,20160425T000000,Yes,20160804T000000
REC,5045,AUB,Queens Birthday,20160606T000000,Yes,20160804T000000
REC,5045,AUB,Labour Day,20161024T000000,Yes,20160804T000000
REC,5045,AUB,Christmas Day Observed,20161226T000000,Yes,20160804T000000
REC,5045,AUB,Boxing Day Observed,20161227T000000,Yes,20160804T000000
REC,5045,AUB,New Years Day Observed,20170102T000000,Yes,20170126T000000
REC,5045,AUB,Public Holiday Observed,20170103T000000,Yes,20170126T000000
REC,5045,AUB,Auckland Anniversary Day,20170130T000000,Yes,20170126T000000
REC,5045,AUB,Waitangi Day,20170206T000000,Yes,20170126T000000
REC,5045,AUB,Good Friday,20170414T000000,Yes,20170126T000000
REC,5045,AUB,Easter Monday,20170417T000000,Yes,20170126T000000
REC,5045,AUB,Anzac Day,20170425T000000,Yes,20170126T000000
REC,5045,AUB,Queens Birthday,20170605T000000,Yes,20170126T000000
REC,5045,AUB,Labour Day,20171023T000000,Yes,20170126T000000
REC,5045,AUB,Christmas Day,20171225T000000,Yes,20170126T000000
REC,5045,AUB,Boxing Day,20171226T000000,Yes,20170126T000000
REC,5045,AUB,New Years Day,20180101T000000,Yes,20180125T000000
REC,5045,AUB,Public Holiday,20180102T000000,Yes,20180125T000000
REC,5045,AUB,Auckland Anniversary Day,20180129T000000,Yes,20180125T000000
REC,5045,AUB,Waitangi Day,20180206T000000,Yes,20180125T000000
REC,5045,AUB,Good Friday,20180330T000000,Yes,20180125T000000
REC,5045,AUB,Easter Monday,20180402T000000,Yes,20180125T000000
REC,5045,AUB,Anzac Day,20180425T000000,Yes,20180125T000000
REC,5045,AUB,Queens Birthday,20180604T000000,Yes,20180125T000000
REC,5045,AUB,Labour Day,20181022T000000,Yes,20180125T000000
REC,5045,AUB,Christmas Day,20181225T000000,Yes,20180125T000000
