#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5049,BBB,Brisbane Bank Holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5049,BBB,New Years Day Observed,20170102T000000,Yes,20170323T000000
REC,5049,BBB,Australia Day,20170126T000000,Yes,20170323T000000
REC,5049,BBB,Good Friday,20170414T000000,Yes,20170323T000000
REC,5049,BBB,Easter Monday,20170417T000000,Yes,20170323T000000
REC,5049,BBB,Anzac Day,20170425T000000,Yes,20170323T000000
REC,5049,BBB,Labour Day,20170501T000000,Yes,20170323T000000
REC,5049,BBB,Brisbane Show Day,20170816T000000,Yes,20170323T000000
REC,5049,BBB,Queens Birthday,20171002T000000,Yes,20170323T000000
REC,5049,BBB,Christmas Day,20171225T000000,Yes,20170323T000000
REC,5049,BBB,Boxing Day,20171226T000000,Yes,20170323T000000
REC,5049,BBB,New Years Day,20180101T000000,Yes,20180125T000000
REC,5049,BBB,Australia Day,20180126T000000,Yes,20180125T000000
REC,5049,BBB,Good Friday,20180330T000000,Yes,20180125T000000
REC,5049,BBB,Easter Monday,20180402T000000,Yes,20180125T000000
REC,5049,BBB,Anzac Day,20180425T000000,Yes,20180125T000000
REC,5049,BBB,Labour Day,20180507T000000,Yes,20180125T000000
REC,5049,BBB,Brisbane Show Day,20180815T000000,Yes,20180125T000000
REC,5049,BBB,Queens Birthday,20181001T000000,Yes,20180125T000000
REC,5049,BBB,Christmas Day,20181225T000000,Yes,20180125T000000
REC,5049,BBB,Boxing Day,20181226T000000,Yes,20180125T000000
REC,5049,BBB,New Years Day,20190101T000000,Yes,20190131T000000
REC,5049,BBB,Australia Day Observed,20190128T000000,Yes,20190131T000000
REC,5049,BBB,Good Friday,20190419T000000,Yes,20190131T000000
REC,5049,BBB,Easter Monday,20190422T000000,Yes,20190131T000000
REC,5049,BBB,Anzac Day,20190425T000000,Yes,20190131T000000
REC,5049,BBB,Labour Day,20190506T000000,Yes,20190131T000000
REC,5049,BBB,Brisbane Show Day,20190814T000000,Yes,20190131T000000
REC,5049,BBB,Queens Birthday,20191007T000000,Yes,20190131T000000
REC,5049,BBB,Christmas Day,20191225T000000,Yes,20190131T000000
REC,5049,BBB,Boxing Day,20191226T000000,Yes,20190131T000000
REC,5049,BBB,New Years Day,20200101T000000,Yes,20200521T000000
REC,5049,BBB,Australia Day Observed,20200127T000000,Yes,20200521T000000
REC,5049,BBB,Good Friday,20200410T000000,Yes,20200521T000000
REC,5049,BBB,Easter Monday,20200413T000000,Yes,20200521T000000
REC,5049,BBB,Labour Day,20200504T000000,Yes,20200521T000000
REC,5049,BBB,Brisbane Show Day,20200814T000000,Yes,20200521T000000
REC,5049,BBB,Queens Birthday,20201005T000000,Yes,20200521T000000
REC,5049,BBB,Christmas Day,20201225T000000,Yes,20200521T000000
REC,5049,BBB,Boxing Day Observed,20201228T000000,Yes,20200521T000000
REC,5049,BBB,New Years Day,20210101T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day,20210126T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20210402T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20210405T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day Observed,20210426T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20210503T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20211004T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day Observed,20211227T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day Observed,20211228T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day Observed,20220103T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day,20220126T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20220415T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20220418T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day,20220425T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20220502T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20220810T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20221003T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day Observed,20221226T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day Observed,20221227T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day Observed,20230102T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day,20230126T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20230407T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20230410T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day,20230425T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20230501T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20230816T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20231002T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day,20231225T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day,20231226T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day,20240101T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day,20240126T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20240329T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20240401T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day,20240425T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20240506T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20240814T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20241007T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day,20241225T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day,20241226T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day,20250101T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day Observed,20250127T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20250418T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20250421T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day,20250425T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20250505T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20250813T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20251006T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day,20251225T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day,20251226T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day,20260101T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day,20260126T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20260403T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20260406T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20260504T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20260812T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20261005T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day,20261225T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day Observed,20261228T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day,20270101T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day,20270126T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20270326T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20270329T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day Observed,20270426T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20270503T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20270811T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20271004T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day Observed,20271227T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day Observed,20271228T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day Observed,20280103T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day,20280126T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20280414T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20280417T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day,20280425T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20280501T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20280816T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20281002T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day,20281225T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day,20281226T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day,20290101T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day,20290126T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20290330T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20290402T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day,20290425T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20290507T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20290815T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20291001T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day,20291225T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day,20291226T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day,20300101T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day Observed,20300128T000000,Yes,20210806T000000
REC,5049,BBB,Good Friday,20300419T000000,Yes,20210806T000000
REC,5049,BBB,Easter Monday,20300422T000000,Yes,20210806T000000
REC,5049,BBB,Anzac Day,20300425T000000,Yes,20210806T000000
REC,5049,BBB,Labour Day,20300506T000000,Yes,20210806T000000
REC,5049,BBB,Brisbane Show Day,20300814T000000,Yes,20210806T000000
REC,5049,BBB,Queens Birthday,20301007T000000,Yes,20210806T000000
REC,5049,BBB,Christmas Day,20301225T000000,Yes,20210806T000000
REC,5049,BBB,Boxing Day,20301226T000000,Yes,20210806T000000
REC,5049,BBB,New Years Day,20310101T000000,Yes,20210806T000000
REC,5049,BBB,Australia Day Observed,20310127T000000,Yes,20210806T000000
