#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5057,BRB,Brussels bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5057,BRB,New Years Day,20200101T000000,Yes,20200221T000000
REC,5057,BRB,Bank Holiday,20200410T000000,Yes,20200221T000000
REC,5057,BRB,Easter Monday,20200413T000000,Yes,20200221T000000
REC,5057,BRB,Labour Day,20200501T000000,Yes,20200221T000000
REC,5057,BRB,Ascension Day,20200521T000000,Yes,20200221T000000
REC,5057,BRB,Bank Holiday,20200522T000000,Yes,20200221T000000
REC,5057,BRB,Whit Monday,20200601T000000,Yes,20200221T000000
REC,5057,BRB,National Holiday,20200721T000000,Yes,20200221T000000
REC,5057,BRB,Armistice Day,20201111T000000,Yes,20200221T000000
REC,5057,BRB,Christmas Day,20201225T000000,Yes,20200221T000000
REC,5057,BRB,New Years Day,20210101T000000,Yes,20210206T000000
REC,5057,BRB,Bank Holiday,20210402T000000,Yes,20210206T000000
REC,5057,BRB,Easter Monday,20210405T000000,Yes,20210206T000000
REC,5057,BRB,Ascension Day,20210513T000000,Yes,20210206T000000
REC,5057,BRB,Bank Holiday,20210514T000000,Yes,20210206T000000
REC,5057,BRB,Whit Monday,20210524T000000,Yes,20210206T000000
REC,5057,BRB,National Holiday,20210721T000000,Yes,20210206T000000
REC,5057,BRB,All Saints Day,20211101T000000,Yes,20210206T000000
REC,5057,BRB,Armistice Day,20211111T000000,Yes,20210206T000000
REC,5057,BRB,Bank Holiday,20220415T000000,Yes,20220202T000000
REC,5057,BRB,Easter Monday,20220418T000000,Yes,20220202T000000
REC,5057,BRB,Ascension Day,20220526T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20220527T000000,Yes,20220202T000000
REC,5057,BRB,Whit Monday,20220606T000000,Yes,20220202T000000
REC,5057,BRB,National Holiday,20220721T000000,Yes,20220202T000000
REC,5057,BRB,Assumption Day,20220815T000000,Yes,20220202T000000
REC,5057,BRB,All Saints Day,20221101T000000,Yes,20220202T000000
REC,5057,BRB,Armistice Day,20221111T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20221226T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20230407T000000,Yes,20220202T000000
REC,5057,BRB,Easter Monday,20230410T000000,Yes,20220202T000000
REC,5057,BRB,Labour Day,20230501T000000,Yes,20220202T000000
REC,5057,BRB,Ascension Day,20230518T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20230519T000000,Yes,20220202T000000
REC,5057,BRB,Whit Monday,20230529T000000,Yes,20220202T000000
REC,5057,BRB,National Holiday,20230721T000000,Yes,20220202T000000
REC,5057,BRB,Assumption Day,20230815T000000,Yes,20220202T000000
REC,5057,BRB,All Saints Day,20231101T000000,Yes,20220202T000000
REC,5057,BRB,Christmas Day,20231225T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20231226T000000,Yes,20220202T000000
REC,5057,BRB,New Years Day,20240101T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20240329T000000,Yes,20220202T000000
REC,5057,BRB,Easter Monday,20240401T000000,Yes,20220202T000000
REC,5057,BRB,Labour Day,20240501T000000,Yes,20220202T000000
REC,5057,BRB,Ascension Day,20240509T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20240510T000000,Yes,20220202T000000
REC,5057,BRB,Whit Monday,20240520T000000,Yes,20220202T000000
REC,5057,BRB,Assumption Day,20240815T000000,Yes,20220202T000000
REC,5057,BRB,All Saints Day,20241101T000000,Yes,20220202T000000
REC,5057,BRB,Armistice Day,20241111T000000,Yes,20220202T000000
REC,5057,BRB,Christmas Day,20241225T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20241226T000000,Yes,20220202T000000
REC,5057,BRB,New Years Day,20250101T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20250418T000000,Yes,20220202T000000
REC,5057,BRB,Easter Monday,20250421T000000,Yes,20220202T000000
REC,5057,BRB,Labour Day,20250501T000000,Yes,20220202T000000
REC,5057,BRB,Ascension Day,20250529T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20250530T000000,Yes,20220202T000000
REC,5057,BRB,Whit Monday,20250609T000000,Yes,20220202T000000
REC,5057,BRB,National Holiday,20250721T000000,Yes,20220202T000000
REC,5057,BRB,Assumption Day,20250815T000000,Yes,20220202T000000
REC,5057,BRB,Armistice Day,20251111T000000,Yes,20220202T000000
REC,5057,BRB,Christmas Day,20251225T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20251226T000000,Yes,20220202T000000
REC,5057,BRB,New Years Day,20260101T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20260403T000000,Yes,20220202T000000
REC,5057,BRB,Easter Monday,20260406T000000,Yes,20220202T000000
REC,5057,BRB,Labour Day,20260501T000000,Yes,20220202T000000
REC,5057,BRB,Ascension Day,20260514T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20260515T000000,Yes,20220202T000000
REC,5057,BRB,Whit Monday,20260525T000000,Yes,20220202T000000
REC,5057,BRB,National Holiday,20260721T000000,Yes,20220202T000000
REC,5057,BRB,Armistice Day,20261111T000000,Yes,20220202T000000
REC,5057,BRB,Christmas Day,20261225T000000,Yes,20220202T000000
REC,5057,BRB,New Years Day,20270101T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20270326T000000,Yes,20220202T000000
REC,5057,BRB,Easter Monday,20270329T000000,Yes,20220202T000000
REC,5057,BRB,Ascension Day,20270506T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20270507T000000,Yes,20220202T000000
REC,5057,BRB,Whit Monday,20270517T000000,Yes,20220202T000000
REC,5057,BRB,National Holiday,20270721T000000,Yes,20220202T000000
REC,5057,BRB,All Saints Day,20271101T000000,Yes,20220202T000000
REC,5057,BRB,Armistice Day,20271111T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20280414T000000,Yes,20220202T000000
REC,5057,BRB,Easter Monday,20280417T000000,Yes,20220202T000000
REC,5057,BRB,Labour Day,20280501T000000,Yes,20220202T000000
REC,5057,BRB,Ascension Day,20280525T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20280526T000000,Yes,20220202T000000
REC,5057,BRB,Whit Monday,20280605T000000,Yes,20220202T000000
REC,5057,BRB,National Holiday,20280721T000000,Yes,20220202T000000
REC,5057,BRB,Assumption Day,20280815T000000,Yes,20220202T000000
REC,5057,BRB,All Saints Day,20281101T000000,Yes,20220202T000000
REC,5057,BRB,Christmas Day,20281225T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20281226T000000,Yes,20220202T000000
REC,5057,BRB,New Years Day,20290101T000000,Yes,20220202T000000
REC,5057,BRB,Bank Holiday,20290330T000000,Yes,20220202T000000
REC,5057,BRB,Easter Monday,20290402T000000,Yes,20220202T000000
REC,5057,BRB,Labour Day,20290501T000000,Yes,20220202T000000
