#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,4,ECU,ECU bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,4,ECU, ,19910101T000000,Yes,
REC,4,ECU, ,19910329T000000,Yes,
REC,4,ECU, ,19910401T000000,Yes,
REC,4,ECU, ,19910501T000000,Yes,
REC,4,ECU, ,19910509T000000,Yes,
REC,4,ECU, ,19910520T000000,Yes,
REC,4,ECU, ,19910815T000000,Yes,
REC,4,ECU, ,19911003T000000,Yes,
REC,4,ECU, ,19911101T000000,Yes,
REC,4,ECU, ,19911225T000000,Yes,
REC,4,ECU, ,19911226T000000,Yes,
REC,4,ECU, ,19920101T000000,Yes,
REC,4,ECU, ,19920417T000000,Yes,
REC,4,ECU, ,19920420T000000,Yes,
REC,4,ECU, ,19920501T000000,Yes,
REC,4,ECU, ,19920528T000000,Yes,
REC,4,ECU, ,19920608T000000,Yes,
REC,4,ECU, ,19921003T000000,Yes,
REC,4,ECU, ,19921225T000000,Yes,
REC,4,ECU, ,19921226T000000,Yes,
REC,4,ECU, ,19930101T000000,Yes,
REC,4,ECU, ,19930409T000000,Yes,
REC,4,ECU, ,19930412T000000,Yes,
REC,4,ECU, ,19930503T000000,Yes,
REC,4,ECU, ,19930520T000000,Yes,
REC,4,ECU, ,19930531T000000,Yes,
REC,4,ECU, ,19931003T000000,Yes,
REC,4,ECU, ,19931101T000000,Yes,
REC,4,ECU, ,19931225T000000,Yes,
REC,4,ECU, ,19931226T000000,Yes,
REC,4,ECU, ,19940103T000000,Yes,
REC,4,ECU, ,19940401T000000,Yes,
REC,4,ECU, ,19940404T000000,Yes,
REC,4,ECU, ,19940502T000000,Yes,
REC,4,ECU, ,19940512T000000,Yes,
REC,4,ECU, ,19940523T000000,Yes,
REC,4,ECU, ,19940815T000000,Yes,
REC,4,ECU, ,19941003T000000,Yes,
REC,4,ECU, ,19941101T000000,Yes,
REC,4,ECU, ,19941225T000000,Yes,
REC,4,ECU, ,19941226T000000,Yes,
REC,4,ECU, ,19950102T000000,Yes,
REC,4,ECU, ,19950414T000000,Yes,
REC,4,ECU, ,19950417T000000,Yes,
REC,4,ECU, ,19950501T000000,Yes,
REC,4,ECU, ,19950525T000000,Yes,
REC,4,ECU, ,19950605T000000,Yes,
REC,4,ECU, ,19950815T000000,Yes,
REC,4,ECU, ,19951003T000000,Yes,
REC,4,ECU, ,19951101T000000,Yes,
REC,4,ECU, ,19951225T000000,Yes,
REC,4,ECU, ,19951226T000000,Yes,
REC,4,ECU, ,19960101T000000,Yes,
REC,4,ECU, ,19960405T000000,Yes,
REC,4,ECU, ,19960408T000000,Yes,
REC,4,ECU, ,19960501T000000,Yes,
REC,4,ECU, ,19960516T000000,Yes,
REC,4,ECU, ,19960527T000000,Yes,
REC,4,ECU, ,19960815T000000,Yes,
REC,4,ECU, ,19961003T000000,Yes,
REC,4,ECU, ,19961101T000000,Yes,
REC,4,ECU, ,19961225T000000,Yes,
REC,4,ECU, ,19961226T000000,Yes,
REC,4,ECU, ,19970101T000000,Yes,
REC,4,ECU, ,19970328T000000,Yes,
REC,4,ECU, ,19970331T000000,Yes,
REC,4,ECU, ,19970501T000000,Yes,
REC,4,ECU, ,19970508T000000,Yes,
REC,4,ECU, ,19970519T000000,Yes,
REC,4,ECU, ,19970815T000000,Yes,
REC,4,ECU, ,19971003T000000,Yes,
REC,4,ECU, ,19971225T000000,Yes,
REC,4,ECU, ,19971226T000000,Yes,
REC,4,ECU,New Year's Day,19980101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,19980410T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,19980413T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,19980501T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,19980521T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,19980601T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,19981225T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day,19990101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,19990402T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,19990405T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,19990513T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,19990524T000000,Yes,19980323T110736
REC,4,ECU,All Saints Day,19991101T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day Observed,20000103T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20000421T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20000424T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,20000501T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20000601T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,20000612T000000,Yes,19980323T110736
REC,4,ECU,Assumption Day,20000815T000000,Yes,19980323T110736
REC,4,ECU,All Saints Day,20001101T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,20001225T000000,Yes,19980323T110736
REC,4,ECU,St. Stephen's Day,20001226T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day,20010101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20010413T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20010416T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,20010501T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20010524T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,20010604T000000,Yes,19980323T110736
REC,4,ECU,Assumption Day,20010815T000000,Yes,19980323T110736
REC,4,ECU,All Saints Day,20011101T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,20011225T000000,Yes,19980323T110736
REC,4,ECU,St. Stephen's Day,20011226T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day,20020101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20020329T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20020401T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,20020501T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20020509T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,20020520T000000,Yes,19980323T110736
REC,4,ECU,Assumption Day,20020815T000000,Yes,19980323T110736
REC,4,ECU,All Saints Day,20021101T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,20021225T000000,Yes,19980323T110736
REC,4,ECU,St. Stephen's Day,20021226T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day,20030101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20030418T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20030421T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,20030501T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20030529T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,20030609T000000,Yes,19980323T110736
REC,4,ECU,Assumption Day,20030815T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,20031225T000000,Yes,19980323T110736
REC,4,ECU,St. Stephen's Day,20031226T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day,20040101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20040409T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20040412T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20040520T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,20040531T000000,Yes,19980323T110736
REC,4,ECU,All Saints Day,20041101T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day Observed,20050103T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20050325T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20050328T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20050505T000000,No,20050629T000000
REC,4,ECU,Whit Monday,20050516T000000,Yes,19980323T110736
REC,4,ECU,Assumption Day,20050815T000000,Yes,19980323T110736
REC,4,ECU,All Saints Day,20051101T000000,Yes,19980323T110736
REC,4,ECU,St. Stephen's Day,20051226T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day Observed,20060102T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20060414T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20060417T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,20060501T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20060525T000000,No,20050629T000000
REC,4,ECU,Whit Monday,20060605T000000,Yes,19980323T110736
REC,4,ECU,Assumption Day,20060815T000000,Yes,19980323T110736
REC,4,ECU,All Saints Day,20061101T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,20061225T000000,Yes,19980323T110736
REC,4,ECU,St. Stephen's Day,20061226T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day,20070101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20070406T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20070409T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,20070501T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20070517T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,20070528T000000,Yes,19980323T110736
REC,4,ECU,Assumption Day,20070815T000000,Yes,19980323T110736
REC,4,ECU,All Saints Day,20071101T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,20071225T000000,Yes,19980323T110736
REC,4,ECU,St. Stephen's Day,20071226T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day,20080101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20080321T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20080324T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,20080501T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,20080512T000000,Yes,19980323T110736
REC,4,ECU,Assumption Day,20080815T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,20081225T000000,Yes,19980323T110736
REC,4,ECU,St. Stephen's Day,20081226T000000,Yes,19980323T110736
REC,4,ECU,New Year's Day,20090101T000000,Yes,19980323T110736
REC,4,ECU,Good Friday,20090410T000000,Yes,19980323T110736
REC,4,ECU,Easter Monday,20090413T000000,Yes,19980323T110736
REC,4,ECU,Labour Day,20090501T000000,Yes,19980323T110736
REC,4,ECU,Ascension Day,20090521T000000,Yes,19980323T110736
REC,4,ECU,Whit Monday,20090601T000000,Yes,19980323T110736
REC,4,ECU,Christmas Day,20091225T000000,Yes,19980323T110736
REC,4,ECU,New Years Day,20100101T000000,Yes,20110103T000000
REC,4,ECU,Good Friday,20100402T000000,Yes,20110103T000000
REC,4,ECU,Easter Monday,20100405T000000,Yes,20110103T000000
REC,4,ECU,Ascension Day,20100513T000000,Yes,20110103T000000
REC,4,ECU,Whit Monday,20100524T000000,Yes,20110103T000000
REC,4,ECU,All Saints Day,20101101T000000,Yes,20110103T000000
REC,4,ECU,New Years Day Observed,20110103T000000,Yes,20110126T000000
REC,4,ECU,Good Friday,20110422T000000,Yes,20110126T000000
REC,4,ECU,Easter Monday,20110425T000000,Yes,20110126T000000
REC,4,ECU,Ascension Day,20110602T000000,Yes,20110126T000000
REC,4,ECU,Whit Monday,20110613T000000,Yes,20110126T000000
REC,4,ECU,Assumption Day,20110815T000000,Yes,20110126T000000
REC,4,ECU,All Saints Day,20111101T000000,Yes,20110126T000000
REC,4,ECU,St. Stephens Day,20111226T000000,Yes,20110126T000000
REC,4,ECU,New Years Day Observed,20120102T000000,Yes,20120202T000000
REC,4,ECU,Good Friday,20120406T000000,Yes,20120202T000000
REC,4,ECU,Easter Monday,20120409T000000,Yes,20120202T000000
REC,4,ECU,Labour Day,20120501T000000,Yes,20120202T000000
REC,4,ECU,Ascension Day,20120517T000000,Yes,20120202T000000
REC,4,ECU,Whit Monday,20120528T000000,Yes,20120202T000000
REC,4,ECU,Assumption Day,20120815T000000,Yes,20120202T000000
REC,4,ECU,Christmas Day,20121225T000000,Yes,20120202T000000
REC,4,ECU,St. Stephens Day,20121226T000000,Yes,20120202T000000
REC,4,ECU,New Years Day,20130101T000000,Yes,20130213T000000
REC,4,ECU,Good Friday,20130329T000000,Yes,20130213T000000
REC,4,ECU,Easter Monday,20130401T000000,Yes,20130213T000000
REC,4,ECU,Labour Day,20130501T000000,Yes,20130213T000000
REC,4,ECU,Ascension Day,20130509T000000,Yes,20130213T000000
REC,4,ECU,Whit Monday,20130520T000000,Yes,20130213T000000
REC,4,ECU,Assumption Day,20130815T000000,Yes,20130213T000000
REC,4,ECU,All Saints Day,20131101T000000,Yes,20130213T000000
REC,4,ECU,Christmas Day,20131225T000000,Yes,20130213T000000
REC,4,ECU,St. Stephens Day,20131226T000000,Yes,20130213T000000
REC,4,ECU,New Years Day,20140101T000000,Yes,20140130T000000
REC,4,ECU,Good Friday,20140418T000000,Yes,20140130T000000
REC,4,ECU,Easter Monday,20140421T000000,Yes,20140130T000000
REC,4,ECU,Labour Day,20140501T000000,Yes,20140130T000000
REC,4,ECU,Ascension Day,20140529T000000,Yes,20140130T000000
REC,4,ECU,Whit Monday,20140609T000000,Yes,20140130T000000
REC,4,ECU,Assumption Day,20140815T000000,Yes,20140130T000000
REC,4,ECU,Christmas Day,20141225T000000,Yes,20140130T000000
REC,4,ECU,St. Stephens Day,20141226T000000,Yes,20140130T000000
REC,4,ECU,New Years Day,20150101T000000,Yes,20150130T000000
REC,4,ECU,Good Friday,20150403T000000,Yes,20150130T000000
REC,4,ECU,Easter Monday,20150406T000000,Yes,20150130T000000
REC,4,ECU,Labour Day,20150501T000000,Yes,20150130T000000
REC,4,ECU,Ascension Day,20150514T000000,Yes,20150130T000000
REC,4,ECU,Whit Monday,20150525T000000,Yes,20150130T000000
REC,4,ECU,Christmas Day,20151225T000000,Yes,20150130T000000
REC,4,ECU,New Years Day,20160101T000000,Yes,20160127T000000
REC,4,ECU,Good Friday,20160325T000000,Yes,20160127T000000
REC,4,ECU,Easter Monday,20160328T000000,Yes,20160127T000000
REC,4,ECU,Ascension Day,20160505T000000,Yes,20160127T000000
REC,4,ECU,Whit Monday,20160516T000000,Yes,20160127T000000
REC,4,ECU,Assumption Day,20160815T000000,Yes,20160127T000000
REC,4,ECU,All Saints Day,20161101T000000,Yes,20160127T000000
REC,4,ECU,St. Stephens Day,20161226T000000,Yes,20160127T000000
REC,4,ECU,Good Friday,20170414T000000,Yes,20171107T000000
REC,4,ECU,Easter Monday,20170417T000000,Yes,20171107T000000
REC,4,ECU,Labour Day,20170501T000000,Yes,20171107T000000
REC,4,ECU,Christmas Day,20171225T000000,Yes,20171107T000000
REC,4,ECU,Boxing Day,20171226T000000,Yes,20171107T000000
REC,4,ECU,New Years Day,20180101T000000,Yes,20180125T000000
REC,4,ECU,Good Friday,20180330T000000,Yes,20180125T000000
REC,4,ECU,Easter Monday,20180402T000000,Yes,20180125T000000
REC,4,ECU,Labour Day,20180501T000000,Yes,20180125T000000
REC,4,ECU,Christmas Day,20181225T000000,Yes,20180125T000000
REC,4,ECU,Boxing Day,20181226T000000,Yes,20180125T000000
REC,4,ECU,New Years Day,20190101T000000,Yes,20190207T000000
REC,4,ECU,Good Friday,20190419T000000,Yes,20190207T000000
REC,4,ECU,Easter Monday,20190422T000000,Yes,20190207T000000
REC,4,ECU,Labour Day,20190501T000000,Yes,20190207T000000
REC,4,ECU,Christmas Day,20191225T000000,Yes,20190207T000000
REC,4,ECU,Boxing Day,20191226T000000,Yes,20190207T000000
REC,4,ECU,New Years Day,20200101T000000,Yes,20200204T000000
REC,4,ECU,Good Friday,20200410T000000,Yes,20200204T000000
REC,4,ECU,Easter Monday,20200413T000000,Yes,20200204T000000
REC,4,ECU,Labour Day,20200501T000000,Yes,20200204T000000
REC,4,ECU,Christmas Day,20201225T000000,Yes,20200204T000000
REC,4,ECU,New Years Day,20210101T000000,Yes,20210514T000000
REC,4,ECU,Good Friday,20210402T000000,Yes,20210514T000000
REC,4,ECU,Easter Monday,20210405T000000,Yes,20210514T000000
REC,4,ECU,Good Friday,20220415T000000,Yes,20220203T000000
REC,4,ECU,Easter Monday,20220418T000000,Yes,20220203T000000
REC,4,ECU,Boxing Day,20221226T000000,Yes,20220203T000000
REC,4,ECU,Good Friday,20230407T000000,Yes,20220203T000000
REC,4,ECU,Easter Monday,20230410T000000,Yes,20220203T000000
REC,4,ECU,Labour Day,20230501T000000,Yes,20220203T000000
REC,4,ECU,Christmas Day,20231225T000000,Yes,20220203T000000
REC,4,ECU,Boxing Day,20231226T000000,Yes,20220203T000000
REC,4,ECU,New Years Day,20240101T000000,Yes,20220203T000000
REC,4,ECU,Good Friday,20240329T000000,Yes,20220203T000000
REC,4,ECU,Easter Monday,20240401T000000,Yes,20220203T000000
REC,4,ECU,Labour Day,20240501T000000,Yes,20220203T000000
REC,4,ECU,Christmas Day,20241225T000000,Yes,20220203T000000
REC,4,ECU,Boxing Day,20241226T000000,Yes,20220203T000000
REC,4,ECU,New Years Day,20250101T000000,Yes,20220203T000000
REC,4,ECU,Good Friday,20250418T000000,Yes,20220203T000000
REC,4,ECU,Easter Monday,20250421T000000,Yes,20220203T000000
REC,4,ECU,Labour Day,20250501T000000,Yes,20220203T000000
REC,4,ECU,Christmas Day,20251225T000000,Yes,20220203T000000
REC,4,ECU,Boxing Day,20251226T000000,Yes,20220203T000000
