#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,2,FRB,Frankfurt bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,2,FRB, ,19900101T000000,Yes,
REC,2,FRB, ,19900413T000000,Yes,
REC,2,FRB, ,19900416T000000,Yes,
REC,2,FRB, ,19900501T000000,Yes,
REC,2,FRB, ,19900524T000000,Yes,
REC,2,FRB, ,19900604T000000,Yes,
REC,2,FRB, ,19900617T000000,Yes,
REC,2,FRB, ,19901121T000000,Yes,
REC,2,FRB, ,19901224T000000,Yes,
REC,2,FRB, ,19901225T000000,Yes,
REC,2,FRB, ,19901226T000000,Yes,
REC,2,FRB, ,19901231T000000,Yes,
REC,2,FRB, ,19910101T000000,Yes,
REC,2,FRB, ,19910329T000000,Yes,
REC,2,FRB, ,19910401T000000,Yes,
REC,2,FRB, ,19910501T000000,Yes,
REC,2,FRB, ,19910509T000000,Yes,
REC,2,FRB, ,19910520T000000,Yes,
REC,2,FRB, ,19910530T000000,Yes,
REC,2,FRB, ,19911003T000000,Yes,
REC,2,FRB, ,19911120T000000,Yes,
REC,2,FRB, ,19911224T000000,Yes,
REC,2,FRB, ,19911225T000000,Yes,
REC,2,FRB, ,19911226T000000,Yes,
REC,2,FRB, ,19920101T000000,Yes,
REC,2,FRB, ,19920417T000000,Yes,
REC,2,FRB, ,19920420T000000,Yes,
REC,2,FRB, ,19920501T000000,Yes,
REC,2,FRB, ,19920528T000000,Yes,
REC,2,FRB, ,19920608T000000,Yes,
REC,2,FRB, ,19920618T000000,Yes,
REC,2,FRB, ,19921003T000000,Yes,
REC,2,FRB, ,19921101T000000,Yes,
REC,2,FRB, ,19921118T000000,Yes,
REC,2,FRB, ,19921224T000000,Yes,
REC,2,FRB, ,19921225T000000,Yes,
REC,2,FRB, ,19921226T000000,Yes,
