#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5078,GEB,Geneva bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5078,GEB,Good Friday,20220415T000000,Yes,20220308T000000
REC,5078,GEB,Easter Monday,20220418T000000,Yes,20220308T000000
REC,5078,GEB,Ascension Day,20220526T000000,Yes,20220308T000000
REC,5078,GEB,Whit Monday,20220606T000000,Yes,20220308T000000
REC,5078,GEB,National Holiday,20220801T000000,Yes,20220308T000000
REC,5078,GEB,Jeune Genevois,20220908T000000,Yes,20220308T000000
REC,5078,GEB,St. Stephens Day,20221226T000000,Yes,20220308T000000
REC,5078,GEB,Berchtoldstag,20230102T000000,Yes,20220308T000000
REC,5078,GEB,Good Friday,20230407T000000,Yes,20220308T000000
REC,5078,GEB,Easter Monday,20230410T000000,Yes,20220308T000000
REC,5078,GEB,Labour Day,20230501T000000,Yes,20220308T000000
REC,5078,GEB,Ascension Day,20230518T000000,Yes,20220308T000000
REC,5078,GEB,Whit Monday,20230529T000000,Yes,20220308T000000
REC,5078,GEB,National Holiday,20230801T000000,Yes,20220308T000000
REC,5078,GEB,Jeune Genevois,20230907T000000,Yes,20220308T000000
REC,5078,GEB,Christmas Day,20231225T000000,Yes,20220308T000000
REC,5078,GEB,St. Stephens Day,20231226T000000,Yes,20220308T000000
REC,5078,GEB,New Years Day,20240101T000000,Yes,20220308T000000
REC,5078,GEB,Berchtoldstag,20240102T000000,Yes,20220308T000000
REC,5078,GEB,Good Friday,20240329T000000,Yes,20220308T000000
REC,5078,GEB,Easter Monday,20240401T000000,Yes,20220308T000000
REC,5078,GEB,Labour Day,20240501T000000,Yes,20220308T000000
REC,5078,GEB,Ascension Day,20240509T000000,Yes,20220308T000000
REC,5078,GEB,Whit Monday,20240520T000000,Yes,20220308T000000
REC,5078,GEB,National Holiday,20240801T000000,Yes,20220308T000000
REC,5078,GEB,Jeune Genevois,20240905T000000,Yes,20220308T000000
REC,5078,GEB,Christmas Day,20241225T000000,Yes,20220308T000000
REC,5078,GEB,St. Stephens Day,20241226T000000,Yes,20220308T000000
REC,5078,GEB,Restoration Day,20241231T000000,Yes,20220308T000000
REC,5078,GEB,New Years Day,20250101T000000,Yes,20220308T000000
REC,5078,GEB,Berchtoldstag,20250102T000000,Yes,20220308T000000
REC,5078,GEB,Good Friday,20250418T000000,Yes,20220308T000000
REC,5078,GEB,Easter Monday,20250421T000000,Yes,20220308T000000
REC,5078,GEB,Labour Day,20250501T000000,Yes,20220308T000000
REC,5078,GEB,Ascension Day,20250529T000000,Yes,20220308T000000
REC,5078,GEB,Whit Monday,20250609T000000,Yes,20220308T000000
REC,5078,GEB,National Holiday,20250801T000000,Yes,20220308T000000
REC,5078,GEB,Jeune Genevois,20250911T000000,Yes,20220308T000000
REC,5078,GEB,Christmas Day,20251225T000000,Yes,20220308T000000
REC,5078,GEB,St. Stephens Day,20251226T000000,Yes,20220308T000000
REC,5078,GEB,Restoration Day,20251231T000000,Yes,20220308T000000
REC,5078,GEB,New Years Day,20260101T000000,Yes,20220308T000000
REC,5078,GEB,Berchtoldstag,20260102T000000,Yes,20220308T000000
REC,5078,GEB,Good Friday,20260403T000000,Yes,20220308T000000
REC,5078,GEB,Easter Monday,20260406T000000,Yes,20220308T000000
