#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5060,HBB,Hamburg bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5060,HBB,New Years Day,20200101T000000,Yes,20201005T000000
REC,5060,HBB,Good Friday,20200410T000000,Yes,20201005T000000
REC,5060,HBB,Easter Monday,20200413T000000,Yes,20201005T000000
REC,5060,HBB,Labour Day,20200501T000000,Yes,20201005T000000
REC,5060,HBB,Ascension Day,20200521T000000,Yes,20201005T000000
REC,5060,HBB,Whit Monday,20200601T000000,Yes,20201005T000000
REC,5060,HBB,Christmas Eve,20201224T000000,Yes,20201005T000000
REC,5060,HBB,Christmas Day,20201225T000000,Yes,20201005T000000
REC,5060,HBB,New Years Eve,20201231T000000,Yes,20201005T000000
REC,5060,HBB,New Years Day,20210101T000000,Yes,20210206T000000
REC,5060,HBB,Good Friday,20210402T000000,Yes,20210206T000000
REC,5060,HBB,Easter Monday,20210405T000000,Yes,20210206T000000
REC,5060,HBB,Ascension Day,20210513T000000,Yes,20210206T000000
REC,5060,HBB,Whit Monday,20210524T000000,Yes,20210206T000000
REC,5060,HBB,Christmas Eve,20211224T000000,Yes,20210206T000000
REC,5060,HBB,New Years Eve,20211231T000000,Yes,20210206T000000
REC,5060,HBB,Good Friday,20220415T000000,Yes,20220202T000000
REC,5060,HBB,Easter Monday,20220418T000000,Yes,20220202T000000
REC,5060,HBB,Ascension Day,20220526T000000,Yes,20220202T000000
REC,5060,HBB,Whit Monday,20220606T000000,Yes,20220202T000000
REC,5060,HBB,Day of Unity,20221003T000000,Yes,20220202T000000
REC,5060,HBB,Reformation Day,20221031T000000,Yes,20220202T000000
REC,5060,HBB,St. Stephens Day,20221226T000000,Yes,20220202T000000
REC,5060,HBB,Good Friday,20230407T000000,Yes,20220202T000000
REC,5060,HBB,Easter Monday,20230410T000000,Yes,20220202T000000
REC,5060,HBB,Labour Day,20230501T000000,Yes,20220202T000000
REC,5060,HBB,Ascension Day,20230518T000000,Yes,20220202T000000
REC,5060,HBB,Whit Monday,20230529T000000,Yes,20220202T000000
REC,5060,HBB,Day of Unity,20231003T000000,Yes,20220202T000000
REC,5060,HBB,Reformation Day,20231031T000000,Yes,20220202T000000
REC,5060,HBB,Christmas Day,20231225T000000,Yes,20220202T000000
REC,5060,HBB,St. Stephens Day,20231226T000000,Yes,20220202T000000
REC,5060,HBB,New Years Day,20240101T000000,Yes,20220202T000000
REC,5060,HBB,Good Friday,20240329T000000,Yes,20220202T000000
REC,5060,HBB,Easter Monday,20240401T000000,Yes,20220202T000000
REC,5060,HBB,Labour Day,20240501T000000,Yes,20220202T000000
REC,5060,HBB,Ascension Day,20240509T000000,Yes,20220202T000000
REC,5060,HBB,Whit Monday,20240520T000000,Yes,20220202T000000
REC,5060,HBB,Day of Unity,20241003T000000,Yes,20220202T000000
REC,5060,HBB,Reformation Day,20241031T000000,Yes,20220202T000000
REC,5060,HBB,Christmas Eve,20241224T000000,Yes,20220202T000000
REC,5060,HBB,Christmas Day,20241225T000000,Yes,20220202T000000
REC,5060,HBB,St. Stephens Day,20241226T000000,Yes,20220202T000000
REC,5060,HBB,New Years Eve,20241231T000000,Yes,20220202T000000
REC,5060,HBB,New Years Day,20250101T000000,Yes,20220202T000000
REC,5060,HBB,Good Friday,20250418T000000,Yes,20220202T000000
REC,5060,HBB,Easter Monday,20250421T000000,Yes,20220202T000000
REC,5060,HBB,Labour Day,20250501T000000,Yes,20220202T000000
REC,5060,HBB,Ascension Day,20250529T000000,Yes,20220202T000000
REC,5060,HBB,Whit Monday,20250609T000000,Yes,20220202T000000
REC,5060,HBB,Day of Unity,20251003T000000,Yes,20220202T000000
REC,5060,HBB,Reformation Day,20251031T000000,Yes,20220202T000000
REC,5060,HBB,Christmas Eve,20251224T000000,Yes,20220202T000000
REC,5060,HBB,Christmas Day,20251225T000000,Yes,20220202T000000
REC,5060,HBB,St. Stephens Day,20251226T000000,Yes,20220202T000000
REC,5060,HBB,New Years Eve,20251231T000000,Yes,20220202T000000
REC,5060,HBB,New Years Day,20260101T000000,Yes,20220202T000000
REC,5060,HBB,Good Friday,20260403T000000,Yes,20220202T000000
REC,5060,HBB,Easter Monday,20260406T000000,Yes,20220202T000000
REC,5060,HBB,Labour Day,20260501T000000,Yes,20220202T000000
REC,5060,HBB,Ascension Day,20260514T000000,Yes,20220202T000000
REC,5060,HBB,Whit Monday,20260525T000000,Yes,20220202T000000
REC,5060,HBB,Christmas Eve,20261224T000000,Yes,20220202T000000
REC,5060,HBB,Christmas Day,20261225T000000,Yes,20220202T000000
REC,5060,HBB,New Years Eve,20261231T000000,Yes,20220202T000000
REC,5060,HBB,New Years Day,20270101T000000,Yes,20220202T000000
REC,5060,HBB,Good Friday,20270326T000000,Yes,20220202T000000
REC,5060,HBB,Easter Monday,20270329T000000,Yes,20220202T000000
REC,5060,HBB,Ascension Day,20270506T000000,Yes,20220202T000000
REC,5060,HBB,Whit Monday,20270517T000000,Yes,20220202T000000
