#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5,HKB,Hong Kong bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5,HKB, ,19910101T000000,Yes,
REC,5,HKB, ,19910214T000000,Yes,
REC,5,HKB, ,19910215T000000,Yes,
REC,5,HKB, ,19910216T000000,Yes,
REC,5,HKB, ,19910329T000000,Yes,
REC,5,HKB, ,19910330T000000,Yes,
REC,5,HKB, ,19910401T000000,Yes,
REC,5,HKB, ,19910405T000000,Yes,
REC,5,HKB, ,19910617T000000,Yes,
REC,5,HKB, ,19910618T000000,Yes,
REC,5,HKB, ,19910824T000000,Yes,
REC,5,HKB, ,19910826T000000,Yes,
REC,5,HKB, ,19910923T000000,Yes,
REC,5,HKB, ,19911016T000000,Yes,
REC,5,HKB, ,19911225T000000,Yes,
REC,5,HKB, ,19911226T000000,Yes,
REC,5,HKB, ,19920101T000000,Yes,
REC,5,HKB, ,19920204T000000,Yes,
REC,5,HKB, ,19920205T000000,Yes,
REC,5,HKB, ,19920206T000000,Yes,
REC,5,HKB, ,19920404T000000,Yes,
REC,5,HKB, ,19920417T000000,Yes,
REC,5,HKB, ,19920418T000000,Yes,
REC,5,HKB, ,19920420T000000,Yes,
REC,5,HKB, ,19920605T000000,Yes,
REC,5,HKB, ,19920613T000000,Yes,
REC,5,HKB, ,19920615T000000,Yes,
REC,5,HKB, ,19920829T000000,Yes,
REC,5,HKB, ,19920831T000000,Yes,
REC,5,HKB, ,19920912T000000,Yes,
REC,5,HKB, ,19921005T000000,Yes,
REC,5,HKB, ,19921225T000000,Yes,
REC,5,HKB, ,19921226T000000,Yes,
REC,5,HKB,First Weekday in January,19960101T000000,Yes,19960116T000000
REC,5,HKB,Lunar New Year's Day,19960219T000000,Yes,19960116T000000
REC,5,HKB,Second Day of Lunar New Year,19960220T000000,Yes,19960116T000000
REC,5,HKB,Third Day of Lunar New Year,19960221T000000,Yes,19960116T000000
REC,5,HKB,Ching Ming Festival,19960404T000000,Yes,19960116T000000
REC,5,HKB,Good Friday,19960405T000000,Yes,19960116T000000
REC,5,HKB,Easter Monday,19960408T000000,Yes,19960116T000000
REC,5,HKB,Queen's Birthday Observed,19960617T000000,Yes,19960116T000000
REC,5,HKB,Tuen Ng Festival,19960620T000000,Yes,19960116T000000
REC,5,HKB,Liberation Day,19960826T000000,Yes,19960116T000000
REC,5,HKB,Chung Yuen Festival Observed,19961021T000000,Yes,19960116T000000
REC,5,HKB,Christimas Day,19961225T000000,Yes,19960116T000000
REC,5,HKB,Christmas Holiday,19961226T000000,Yes,19960116T000000
REC,5,HKB,First Weekday in January,19970101T000000,Yes,19960116T000000
REC,5,HKB,Lunar New Year's Eve,19970206T000000,Yes,19960116T000000
REC,5,HKB,Lunar New Year's Day,19970207T000000,Yes,19960116T000000
REC,5,HKB,Good Friday,19970328T000000,Yes,19960116T000000
REC,5,HKB,Easter Monday,19970331T000000,Yes,19960116T000000
REC,5,HKB,Tuen Ng Festival,19970609T000000,Yes,19960116T000000
REC,5,HKB,Queen's Birthday Observed,19970616T000000,Yes,19960116T000000
REC,5,HKB,Liberation Day,19970825T000000,Yes,19960116T000000
REC,5,HKB,Day following Mid-Autumn Festiva,19970917T000000,Yes,19960116T000000
