#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,17,JAB,Jakarta bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,17,JAB, ,19920101T000000,Yes,20181119T000000
REC,17,JAB, ,19920416T000000,Yes,20181119T000000
REC,17,JAB, ,19920417T000000,Yes,20181119T000000
REC,17,JAB, ,19920420T000000,Yes,20181119T000000
REC,17,JAB, ,19920501T000000,Yes,20181119T000000
REC,17,JAB, ,19920517T000000,Yes,20181119T000000
REC,17,JAB, ,19920528T000000,Yes,20181119T000000
REC,17,JAB, ,19920608T000000,Yes,20181119T000000
REC,17,JAB, ,19921225T000000,Yes,20181119T000000
REC,17,JAB, ,19921226T000000,Yes,20181119T000000
REC,17,JAB,New Year's Day,19980101T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,19980130T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,19980131T000000,Yes,20181119T000000
REC,17,JAB,Idul Adha,19980407T000000,Yes,20181119T000000
REC,17,JAB,Good Friday,19980410T000000,Yes,20181119T000000
REC,17,JAB,First Day of Muharram,19980428T000000,Yes,20181119T000000
REC,17,JAB,Waisak Day,19980511T000000,Yes,20181119T000000
REC,17,JAB,Ascension Day,19980521T000000,Yes,20181119T000000
REC,17,JAB,Prophet Muhammad's Birthday,19980706T000000,Yes,20181119T000000
REC,17,JAB,Independence Day,19980817T000000,Yes,20181119T000000
REC,17,JAB,Ascension of Muhammad,19981117T000000,Yes,20181119T000000
REC,17,JAB,Christmas Day,19981225T000000,Yes,20181119T000000
REC,17,JAB,New Year's Day,19990101T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,19990119T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,19990120T000000,Yes,20181119T000000
REC,17,JAB,Saka New Year,19990319T000000,Yes,20181119T000000
REC,17,JAB,Good Friday,19990402T000000,Yes,20181119T000000
REC,17,JAB,First Day of Muharram,19990417T000000,Yes,20181119T000000
REC,17,JAB,Ascension Day,19990513T000000,Yes,20181119T000000
REC,17,JAB,Prophet Muhammad's Birthday,19990626T000000,Yes,20181119T000000
REC,17,JAB,Independence Day,19990817T000000,Yes,20181119T000000
REC,17,JAB,Ascension of Muhammad,19991105T000000,Yes,20181119T000000
REC,17,JAB,Christmas Day,19991225T000000,Yes,20181119T000000
REC,17,JAB,New Year's Day,20000101T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,20000108T000000,Yes,20181119T000000
REC,17,JAB,Saka New Year,20000307T000000,Yes,20181119T000000
REC,17,JAB,Idul Adha,20000316T000000,Yes,20181119T000000
REC,17,JAB,First Day of Muharram,20000406T000000,Yes,20181119T000000
REC,17,JAB,Good Friday,20000421T000000,Yes,20181119T000000
REC,17,JAB,Waisak Day,20000518T000000,Yes,20181119T000000
REC,17,JAB,Ascension Day,20000601T000000,Yes,20181119T000000
REC,17,JAB,Prophet Muhammad's Birthday,20000615T000000,Yes,20181119T000000
REC,17,JAB,Independence Day,20000817T000000,Yes,20181119T000000
REC,17,JAB,Ascension of Muhammad,20001025T000000,Yes,20181119T000000
REC,17,JAB,Christmas Day,20001225T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,20001227T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,20001228T000000,Yes,20181119T000000
REC,17,JAB,New Year's Day,20010101T000000,Yes,20181119T000000
REC,17,JAB,Idul Adha,20010306T000000,Yes,20181119T000000
REC,17,JAB,First Day of Muharram,20010326T000000,Yes,20181119T000000
REC,17,JAB,Good Friday,20010413T000000,Yes,20181119T000000
REC,17,JAB,Waisak Day,20010507T000000,Yes,20181119T000000
REC,17,JAB,Ascension Day,20010524T000000,Yes,20181119T000000
REC,17,JAB,Prophet Muhammad's Birthday,20010604T000000,Yes,20181119T000000
REC,17,JAB,Independence Day,20010817T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,20011217T000000,Yes,20181119T000000
REC,17,JAB,Christmas Day,20011225T000000,Yes,20181119T000000
REC,17,JAB,New Year's Day,20020101T000000,Yes,20181119T000000
REC,17,JAB,Idul Adha,20020223T000000,Yes,20181119T000000
REC,17,JAB,Saka New Year,20020315T000000,Yes,20181119T000000
REC,17,JAB,First Day of Muharram,20020316T000000,Yes,20181119T000000
REC,17,JAB,Good Friday,20020329T000000,Yes,20181119T000000
REC,17,JAB,Ascension Day,20020509T000000,Yes,20181119T000000
REC,17,JAB,Prophet Muhammad's Birthday,20020525T000000,Yes,20181119T000000
REC,17,JAB,Independence Day,20020817T000000,Yes,20181119T000000
REC,17,JAB,Ascension of Muhammad,20021004T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,20021206T000000,Yes,20181119T000000
REC,17,JAB,Idul Fitri,20021207T000000,Yes,20181119T000000
REC,17,JAB,Christmas Day,20021225T000000,Yes,20181119T000000
REC,17,JAB,New Year's Day,20030101T000000,Yes,20181119T000000
