#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,18,KLB,Kuala Lumpur bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,18,KLB, ,19910101T000000,Yes,20130710T000000
REC,18,KLB, ,19910106T000000,Yes,20130710T000000
REC,18,KLB, ,19910329T000000,Yes,20130710T000000
REC,18,KLB, ,19910401T000000,Yes,20130710T000000
REC,18,KLB, ,19910501T000000,Yes,20130710T000000
REC,18,KLB, ,19910509T000000,Yes,20130710T000000
REC,18,KLB, ,19910520T000000,Yes,20130710T000000
REC,18,KLB, ,19910621T000000,Yes,20130710T000000
REC,18,KLB, ,19910622T000000,Yes,20130710T000000
REC,18,KLB, ,19911102T000000,Yes,20130710T000000
REC,18,KLB, ,19911224T000000,Yes,20130710T000000
REC,18,KLB, ,19911225T000000,Yes,20130710T000000
REC,18,KLB, ,19911226T000000,Yes,20130710T000000
REC,18,KLB, ,19911231T000000,Yes,20130710T000000
REC,18,KLB, ,19920101T000000,Yes,20130710T000000
REC,18,KLB, ,19920106T000000,Yes,20130710T000000
REC,18,KLB, ,19920417T000000,Yes,20130710T000000
REC,18,KLB, ,19920420T000000,Yes,20130710T000000
REC,18,KLB, ,19920501T000000,Yes,20130710T000000
REC,18,KLB, ,19920528T000000,Yes,20130710T000000
REC,18,KLB, ,19920608T000000,Yes,20130710T000000
REC,18,KLB, ,19920619T000000,Yes,20130710T000000
REC,18,KLB, ,19921224T000000,Yes,20130710T000000
REC,18,KLB, ,19921225T000000,Yes,20130710T000000
REC,18,KLB, ,19921231T000000,Yes,20130710T000000
REC,18,KLB, ,19930101T000000,Yes,20130710T000000
REC,18,KLB, ,19930106T000000,Yes,20130710T000000
REC,18,KLB, ,19930409T000000,Yes,20130710T000000
REC,18,KLB, ,19930412T000000,Yes,20130710T000000
REC,18,KLB, ,19930520T000000,Yes,20130710T000000
REC,18,KLB, ,19930531T000000,Yes,20130710T000000
REC,18,KLB, ,19930618T000000,Yes,20130710T000000
REC,18,KLB, ,19931224T000000,Yes,20130710T000000
REC,18,KLB, ,19931231T000000,Yes,20130710T000000
REC,18,KLB, ,19940106T000000,Yes,20130710T000000
REC,18,KLB, ,19940401T000000,Yes,20130710T000000
REC,18,KLB, ,19940404T000000,Yes,20130710T000000
REC,18,KLB, ,19940512T000000,Yes,20130710T000000
REC,18,KLB, ,19940523T000000,Yes,20130710T000000
REC,18,KLB, ,19940617T000000,Yes,20130710T000000
REC,18,KLB, ,19941226T000000,Yes,20130710T000000
REC,18,KLB, ,19950106T000000,Yes,20130710T000000
REC,18,KLB, ,19950414T000000,Yes,20130710T000000
REC,18,KLB, ,19950417T000000,Yes,20130710T000000
REC,18,KLB, ,19950501T000000,Yes,20130710T000000
REC,18,KLB, ,19950525T000000,Yes,20130710T000000
REC,18,KLB, ,19950605T000000,Yes,20130710T000000
REC,18,KLB, ,19950616T000000,Yes,20130710T000000
REC,18,KLB, ,19951225T000000,Yes,20130710T000000
REC,18,KLB, ,19951226T000000,Yes,20130710T000000
REC,18,KLB, ,19960101T000000,Yes,20130710T000000
REC,18,KLB, ,19960405T000000,Yes,20130710T000000
REC,18,KLB, ,19960408T000000,Yes,20130710T000000
REC,18,KLB, ,19960501T000000,Yes,20130710T000000
REC,18,KLB, ,19960516T000000,Yes,20130710T000000
REC,18,KLB, ,19960527T000000,Yes,20130710T000000
REC,18,KLB, ,19960605T000000,Yes,20130710T000000
REC,18,KLB, ,19960616T000000,Yes,20130710T000000
REC,18,KLB, ,19961224T000000,Yes,20130710T000000
REC,18,KLB, ,19961225T000000,Yes,20130710T000000
REC,18,KLB, ,19961226T000000,Yes,20130710T000000
REC,18,KLB, ,19961231T000000,Yes,20130710T000000
REC,18,KLB, ,19970101T000000,Yes,20130710T000000
REC,18,KLB, ,19970106T000000,Yes,20130710T000000
REC,18,KLB, ,19970328T000000,Yes,20130710T000000
REC,18,KLB, ,19970331T000000,Yes,20130710T000000
REC,18,KLB, ,19970501T000000,Yes,20130710T000000
REC,18,KLB, ,19970508T000000,Yes,20130710T000000
REC,18,KLB, ,19970519T000000,Yes,20130710T000000
REC,18,KLB, ,19970620T000000,Yes,20130710T000000
REC,18,KLB, ,19971224T000000,Yes,20130710T000000
REC,18,KLB, ,19971225T000000,Yes,20130710T000000
REC,18,KLB, ,19971226T000000,Yes,20130710T000000
REC,18,KLB, ,19971231T000000,Yes,20130710T000000
REC,18,KLB,New Year's Day,19980101T000000,Yes,20130710T000000
REC,18,KLB,Chinese New Year,19980128T000000,Yes,20130710T000000
REC,18,KLB,Second Day of Chinese New Year,19980129T000000,Yes,20130710T000000
REC,18,KLB,Federal Territory Day Observed,19980202T000000,Yes,20130710T000000
REC,18,KLB,Labour Day,19980501T000000,Yes,20130710T000000
REC,18,KLB,Wesak Day,19980511T000000,Yes,20130710T000000
REC,18,KLB,Birthday of His Majesty Yang Di,19980606T000000,Yes,20130710T000000
REC,18,KLB,National Day,19980831T000000,Yes,20130710T000000
REC,18,KLB,Deepavali,19981019T000000,Yes,20130710T000000
REC,18,KLB,Christmas Day,19981225T000000,Yes,20130710T000000
REC,18,KLB,New Year's Day,19990101T000000,Yes,20130710T000000
REC,18,KLB,Federal Territory Day,19990201T000000,Yes,20130710T000000
REC,18,KLB,Chinese New Year,19990216T000000,Yes,20130710T000000
REC,18,KLB,Second Day of Chinese New Year,19990217T000000,Yes,20130710T000000
REC,18,KLB,Labour Day,19990501T000000,Yes,20130710T000000
REC,18,KLB,Wesak Day Observed,19990531T000000,Yes,20130710T000000
REC,18,KLB,Birthday of His Majesty Yang Di,19990605T000000,Yes,20130710T000000
REC,18,KLB,National Day,19990831T000000,Yes,20130710T000000
REC,18,KLB,Deepavali Observed,19991108T000000,Yes,20130710T000000
REC,18,KLB,Christmas Day,19991225T000000,Yes,20130710T000000
REC,18,KLB,New Year's Day,20000101T000000,Yes,20130710T000000
REC,18,KLB,Federal Territory Day,20000201T000000,Yes,20130710T000000
REC,18,KLB,Chinese New Year,20000205T000000,Yes,20130710T000000
REC,18,KLB,Second Day of Chinese New Year O,20000207T000000,Yes,20130710T000000
REC,18,KLB,Labour Day,20000501T000000,Yes,20130710T000000
REC,18,KLB,Wesak Day,20000518T000000,Yes,20130710T000000
REC,18,KLB,Birthday of His Majesty Yang Di,20000603T000000,Yes,20130710T000000
REC,18,KLB,National Day,20000831T000000,Yes,20130710T000000
REC,18,KLB,Deepavali,20001026T000000,Yes,20130710T000000
REC,18,KLB,Christmas Day,20001225T000000,Yes,20130710T000000
REC,18,KLB,New Year's Day,20010101T000000,Yes,20130710T000000
REC,18,KLB,Chinese New Year,20010124T000000,Yes,20130710T000000
REC,18,KLB,Second Day of Chinese New Year,20010125T000000,Yes,20130710T000000
REC,18,KLB,Federal Territory Day,20010201T000000,Yes,20130710T000000
REC,18,KLB,Hari Raya Qurban,20010306T000000,Yes,20130710T000000
REC,18,KLB,First Day of Muharram,20010326T000000,Yes,20130710T000000
REC,18,KLB,Labour Day,20010501T000000,Yes,20130710T000000
REC,18,KLB,Wesak Day,20010507T000000,Yes,20130710T000000
REC,18,KLB,Birthday of His Majesty Yang Di,20010602T000000,Yes,20130710T000000
REC,18,KLB,Prophet Muhammad's Birthday,20010604T000000,Yes,20130710T000000
REC,18,KLB,National Day,20010831T000000,Yes,20130710T000000
REC,18,KLB,Deepavali,20011114T000000,Yes,20130710T000000
REC,18,KLB,Special Holiday,20011122T000000,Yes,20130710T000000
REC,18,KLB,Hari Raya Puasa,20011217T000000,Yes,20130710T000000
REC,18,KLB,Hari Raya Puasa Observed,20011218T000000,Yes,20130710T000000
REC,18,KLB,Christmas Day,20011225T000000,Yes,20130710T000000
REC,18,KLB,New Year's Day,20020101T000000,Yes,20130710T000000
REC,18,KLB,Federal Territory Day,20020201T000000,Yes,20130710T000000
REC,18,KLB,Chinese New Year,20020212T000000,Yes,20130710T000000
REC,18,KLB,Second Day of Chinese New Year,20020213T000000,Yes,20130710T000000
REC,18,KLB,Hari Raya Qurban,20020223T000000,Yes,20130710T000000
REC,18,KLB,First Day of Muharram,20020315T000000,Yes,20130710T000000
REC,18,KLB,Labour Day,20020501T000000,Yes,20130710T000000
REC,18,KLB,Prophet Muhammad's Birthday,20020525T000000,Yes,20130710T000000
REC,18,KLB,Wesak Day Observed,20020527T000000,Yes,20130710T000000
REC,18,KLB,Birthday of His Majesty Yang Di,20020601T000000,Yes,20130710T000000
REC,18,KLB,National Day,20020831T000000,Yes,20130710T000000
REC,18,KLB,Deepavali,20021104T000000,Yes,20130710T000000
REC,18,KLB,Hari Raya Puasa,20021206T000000,Yes,20130710T000000
REC,18,KLB,Hari Raya Puasa,20021207T000000,Yes,20130710T000000
REC,18,KLB,Christmas Day,20021225T000000,Yes,20130710T000000
REC,18,KLB,New Year's Day,20030101T000000,Yes,20130710T000000
REC,18,KLB,Federal Territory Day,20030201T000000,Yes,20130710T000000
REC,18,KLB,Chinese New Year Observed,20030203T000000,Yes,20130710T000000
REC,18,KLB,Second Day of Chinese New Year O,20030204T000000,Yes,20130710T000000
REC,18,KLB,Hari Raya Qurban,20030212T000000,Yes,20130710T000000
REC,18,KLB,First Day of Muharram,20030304T000000,Yes,20130710T000000
REC,18,KLB,Labour Day,20030501T000000,Yes,20130710T000000
REC,18,KLB,Prophet Muhammad's Birthday,20030514T000000,Yes,20130710T000000
REC,18,KLB,Wesak Day,20030516T000000,Yes,20130710T000000
REC,18,KLB,Birthday of His Majesty Yang Di,20030607T000000,Yes,20130710T000000
REC,18,KLB,National Day Observed,20030901T000000,Yes,20130710T000000
REC,18,KLB,Deepavali,20031025T000000,Yes,20130710T000000
