#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5053,LXB,Luxembourg Bank Holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5053,LXB,New Years Day,20190101T000000,Yes,20190330T000000
REC,5053,LXB,Good Friday,20190419T000000,Yes,20190330T000000
REC,5053,LXB,Easter Monday,20190422T000000,Yes,20190330T000000
REC,5053,LXB,May Day,20190501T000000,Yes,20190330T000000
REC,5053,LXB,Ascension Day,20190530T000000,Yes,20190330T000000
REC,5053,LXB,Whit Monday,20190610T000000,Yes,20190330T000000
REC,5053,LXB,Assumption Day,20190815T000000,Yes,20190330T000000
REC,5053,LXB,All Saints Day,20191101T000000,Yes,20190330T000000
REC,5053,LXB,Christmas Day,20191225T000000,Yes,20190330T000000
REC,5053,LXB,St. Stephens Day,20191226T000000,Yes,20190330T000000
REC,5053,LXB,New Years Day,20200101T000000,Yes,20200127T000000
REC,5053,LXB,Good Friday,20200410T000000,Yes,20200127T000000
REC,5053,LXB,Easter Monday,20200413T000000,Yes,20200127T000000
REC,5053,LXB,May Day,20200501T000000,Yes,20200127T000000
REC,5053,LXB,Ascension Day,20200521T000000,Yes,20200127T000000
REC,5053,LXB,Whit Monday,20200601T000000,Yes,20200127T000000
REC,5053,LXB,National Holiday,20200623T000000,Yes,20200127T000000
REC,5053,LXB,Christmas Day,20201225T000000,Yes,20200127T000000
REC,5053,LXB,New Years Day,20210101T000000,Yes,20210206T000000
REC,5053,LXB,Good Friday,20210402T000000,Yes,20210206T000000
REC,5053,LXB,Easter Monday,20210405T000000,Yes,20210206T000000
REC,5053,LXB,Ascension Day,20210513T000000,Yes,20210206T000000
REC,5053,LXB,Whit Monday,20210524T000000,Yes,20210206T000000
REC,5053,LXB,National Holiday,20210623T000000,Yes,20210206T000000
REC,5053,LXB,All Saints Day,20211101T000000,Yes,20210206T000000
REC,5053,LXB,Good Friday,20220415T000000,Yes,20210206T000000
REC,5053,LXB,Easter Monday,20220418T000000,Yes,20210206T000000
REC,5053,LXB,Europe Day,20220509T000000,Yes,20210206T000000
REC,5053,LXB,Ascension Day,20220526T000000,Yes,20210206T000000
REC,5053,LXB,Whit Monday,20220606T000000,Yes,20210206T000000
REC,5053,LXB,National Holiday,20220623T000000,Yes,20210206T000000
REC,5053,LXB,Assumption Day,20220815T000000,Yes,20210206T000000
REC,5053,LXB,All Saints Day,20221101T000000,Yes,20210206T000000
REC,5053,LXB,St. Stephens Day,20221226T000000,Yes,20210206T000000
REC,5053,LXB,Good Friday,20230407T000000,Yes,20210206T000000
REC,5053,LXB,Easter Monday,20230410T000000,Yes,20210206T000000
REC,5053,LXB,May Day,20230501T000000,Yes,20210206T000000
REC,5053,LXB,Europe Day,20230509T000000,Yes,20210206T000000
REC,5053,LXB,Ascension Day,20230518T000000,Yes,20210206T000000
REC,5053,LXB,Whit Monday,20230529T000000,Yes,20210206T000000
REC,5053,LXB,National Holiday,20230623T000000,Yes,20210206T000000
REC,5053,LXB,Assumption Day,20230815T000000,Yes,20210206T000000
REC,5053,LXB,All Saints Day,20231101T000000,Yes,20210206T000000
REC,5053,LXB,Christmas Day,20231225T000000,Yes,20210206T000000
REC,5053,LXB,St. Stephens Day,20231226T000000,Yes,20210206T000000
REC,5053,LXB,New Years Day,20240101T000000,Yes,20210206T000000
REC,5053,LXB,Good Friday,20240329T000000,Yes,20210206T000000
REC,5053,LXB,Easter Monday,20240401T000000,Yes,20210206T000000
REC,5053,LXB,May Day,20240501T000000,Yes,20210206T000000
REC,5053,LXB,Europe Day,20240509T000000,Yes,20210206T000000
REC,5053,LXB,Whit Monday,20240520T000000,Yes,20210206T000000
REC,5053,LXB,Assumption Day,20240815T000000,Yes,20210206T000000
REC,5053,LXB,All Saints Day,20241101T000000,Yes,20210206T000000
REC,5053,LXB,Christmas Day,20241225T000000,Yes,20210206T000000
REC,5053,LXB,St. Stephens Day,20241226T000000,Yes,20210206T000000
REC,5053,LXB,New Years Day,20250101T000000,Yes,20210206T000000
REC,5053,LXB,Good Friday,20250418T000000,Yes,20210206T000000
REC,5053,LXB,Easter Monday,20250421T000000,Yes,20210206T000000
REC,5053,LXB,May Day,20250501T000000,Yes,20210206T000000
REC,5053,LXB,Europe Day,20250509T000000,Yes,20210206T000000
REC,5053,LXB,Ascension Day,20250529T000000,Yes,20210206T000000
REC,5053,LXB,Whit Monday,20250609T000000,Yes,20210206T000000
REC,5053,LXB,National Holiday,20250623T000000,Yes,20210206T000000
REC,5053,LXB,Assumption Day,20250815T000000,Yes,20210206T000000
REC,5053,LXB,Christmas Day,20251225T000000,Yes,20210206T000000
REC,5053,LXB,St. Stephens Day,20251226T000000,Yes,20210206T000000
REC,5053,LXB,New Years Day,20260101T000000,Yes,20210206T000000
REC,5053,LXB,Good Friday,20260403T000000,Yes,20210206T000000
REC,5053,LXB,Easter Monday,20260406T000000,Yes,20210206T000000
REC,5053,LXB,May Day,20260501T000000,Yes,20210206T000000
REC,5053,LXB,Ascension Day,20260514T000000,Yes,20210206T000000
REC,5053,LXB,Whit Monday,20260525T000000,Yes,20210206T000000
REC,5053,LXB,National Holiday,20260623T000000,Yes,20210206T000000
REC,5053,LXB,Christmas Day,20261225T000000,Yes,20210206T000000
REC,5053,LXB,New Years Day,20270101T000000,Yes,20210206T000000
REC,5053,LXB,Good Friday,20270326T000000,Yes,20210206T000000
REC,5053,LXB,Easter Monday,20270329T000000,Yes,20210206T000000
REC,5053,LXB,Ascension Day,20270506T000000,Yes,20210206T000000
REC,5053,LXB,Whit Monday,20270517T000000,Yes,20210206T000000
REC,5053,LXB,National Holiday,20270623T000000,Yes,20210206T000000
REC,5053,LXB,All Saints Day,20271101T000000,Yes,20210206T000000
REC,5053,LXB,Good Friday,20280414T000000,Yes,20210206T000000
REC,5053,LXB,Easter Monday,20280417T000000,Yes,20210206T000000
REC,5053,LXB,May Day,20280501T000000,Yes,20210206T000000
REC,5053,LXB,Europe Day,20280509T000000,Yes,20210206T000000
REC,5053,LXB,Ascension Day,20280525T000000,Yes,20210206T000000
REC,5053,LXB,Whit Monday,20280605T000000,Yes,20210206T000000
REC,5053,LXB,National Holiday,20280623T000000,Yes,20210206T000000
REC,5053,LXB,Assumption Day,20280815T000000,Yes,20210206T000000
