#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,6,MDB,Madrid bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,6,MDB, ,19910101T000000,Yes,
REC,6,MDB, ,19910106T000000,Yes,
REC,6,MDB, ,19910328T000000,Yes,
REC,6,MDB, ,19910329T000000,Yes,
REC,6,MDB, ,19910501T000000,Yes,
REC,6,MDB, ,19910502T000000,Yes,
REC,6,MDB, ,19910515T000000,Yes,
REC,6,MDB, ,19910815T000000,Yes,
REC,6,MDB, ,19911012T000000,Yes,
REC,6,MDB, ,19911101T000000,Yes,
REC,6,MDB, ,19911109T000000,Yes,
REC,6,MDB, ,19911206T000000,Yes,
REC,6,MDB, ,19911208T000000,Yes,
REC,6,MDB, ,19911225T000000,Yes,
REC,6,MDB, ,19920101T000000,Yes,
REC,6,MDB, ,19920106T000000,Yes,
REC,6,MDB, ,19920416T000000,Yes,
REC,6,MDB, ,19920417T000000,Yes,
REC,6,MDB, ,19920418T000000,Yes,
REC,6,MDB, ,19920501T000000,Yes,
REC,6,MDB, ,19920502T000000,Yes,
REC,6,MDB, ,19920515T000000,Yes,
REC,6,MDB, ,19920618T000000,Yes,
REC,6,MDB, ,19920815T000000,Yes,
REC,6,MDB, ,19921012T000000,Yes,
REC,6,MDB, ,19921101T000000,Yes,
REC,6,MDB, ,19921109T000000,Yes,
REC,6,MDB, ,19921206T000000,Yes,
REC,6,MDB, ,19921207T000000,Yes,
REC,6,MDB, ,19921208T000000,Yes,
REC,6,MDB, ,19921225T000000,Yes,
REC,6,MDB, ,19930101T000000,Yes,
REC,6,MDB, ,19930106T000000,Yes,
REC,6,MDB, ,19930408T000000,Yes,
REC,6,MDB, ,19930409T000000,Yes,
REC,6,MDB, ,19930501T000000,Yes,
REC,6,MDB, ,19930502T000000,Yes,
REC,6,MDB, ,19930503T000000,Yes,
REC,6,MDB, ,19930515T000000,Yes,
REC,6,MDB, ,19930815T000000,Yes,
REC,6,MDB, ,19930816T000000,Yes,
REC,6,MDB, ,19931012T000000,Yes,
REC,6,MDB, ,19931101T000000,Yes,
REC,6,MDB, ,19931109T000000,Yes,
REC,6,MDB, ,19931206T000000,Yes,
REC,6,MDB, ,19931208T000000,Yes,
REC,6,MDB, ,19931225T000000,Yes,
REC,6,MDB, ,19940101T000000,Yes,
REC,6,MDB, ,19940106T000000,Yes,
REC,6,MDB, ,19940331T000000,Yes,
REC,6,MDB, ,19940401T000000,Yes,
REC,6,MDB, ,19940501T000000,Yes,
