#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,20,MNB,Manila bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,20,MNB, ,19940103T000000,Yes,20111208T000000
REC,20,MNB, ,19940401T000000,Yes,20111208T000000
REC,20,MNB, ,19940404T000000,Yes,20111208T000000
REC,20,MNB, ,19940502T000000,Yes,20111208T000000
REC,20,MNB, ,19940530T000000,Yes,20111208T000000
REC,20,MNB, ,19940829T000000,Yes,20111208T000000
REC,20,MNB, ,19941226T000000,Yes,20111208T000000
REC,20,MNB, ,19941227T000000,Yes,20111208T000000
REC,20,MNB, ,19950102T000000,Yes,20111208T000000
REC,20,MNB, ,19950414T000000,Yes,20111208T000000
REC,20,MNB, ,19950417T000000,Yes,20111208T000000
REC,20,MNB, ,19950501T000000,Yes,20111208T000000
REC,20,MNB, ,19950529T000000,Yes,20111208T000000
REC,20,MNB, ,19950828T000000,Yes,20111208T000000
REC,20,MNB, ,19951225T000000,Yes,20111208T000000
REC,20,MNB, ,19951226T000000,Yes,20111208T000000
REC,20,MNB, ,19960101T000000,Yes,20111208T000000
REC,20,MNB, ,19960405T000000,Yes,20111208T000000
REC,20,MNB, ,19960408T000000,Yes,20111208T000000
REC,20,MNB, ,19960506T000000,Yes,20111208T000000
REC,20,MNB, ,19960527T000000,Yes,20111208T000000
REC,20,MNB, ,19960826T000000,Yes,20111208T000000
REC,20,MNB, ,19961225T000000,Yes,20111208T000000
REC,20,MNB, ,19961226T000000,Yes,20111208T000000
REC,20,MNB, ,19970101T000000,Yes,20111208T000000
REC,20,MNB, ,19970328T000000,Yes,20111208T000000
REC,20,MNB, ,19970331T000000,Yes,20111208T000000
REC,20,MNB, ,19970505T000000,Yes,20111208T000000
REC,20,MNB, ,19970526T000000,Yes,20111208T000000
REC,20,MNB, ,19970825T000000,Yes,20111208T000000
REC,20,MNB, ,19971225T000000,Yes,20111208T000000
REC,20,MNB, ,19971226T000000,Yes,20111208T000000
REC,20,MNB,New Year's Day,19980101T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,19980409T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,19980410T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,19980501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,19980612T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,19981130T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,19981225T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,19981230T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,19981231T000000,Yes,20111208T000000
REC,20,MNB,New Year's Day,19990101T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,19990401T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,19990402T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,19990409T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,19991101T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,19991130T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,19991230T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,19991231T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20000420T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20000421T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20000501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20000612T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,20001101T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,20001130T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,20001225T000000,Yes,20111208T000000
REC,20,MNB,New Year's Day,20010101T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,20010409T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20010412T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20010413T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20010501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20010612T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,20011101T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,20011130T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,20011225T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20011231T000000,Yes,20111208T000000
REC,20,MNB,New Year's Day,20020101T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20020328T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20020329T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,20020409T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20020501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20020612T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,20021101T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,20021225T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,20021230T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20021231T000000,Yes,20111208T000000
REC,20,MNB,New Year's Day,20030101T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,20030409T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20030417T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20030418T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20030501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20030612T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,20031225T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,20031230T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20031231T000000,Yes,20111208T000000
REC,20,MNB,New Year's Day,20040101T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20040408T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,20040409T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,20041101T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,20041130T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,20041230T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20041231T000000,Yes,20111208T000000
REC,20,MNB,Revolution Day,20050225T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20050324T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20050325T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,20051101T000000,Yes,20111208T000000
REC,20,MNB,All Souls Day,20051102T000000,Yes,20111208T000000
REC,20,MNB,Idul Fitri,20051103T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,20051130T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,20051230T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20060413T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20060414T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20060501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20060612T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,20061101T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,20061130T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,20061225T000000,Yes,20111208T000000
REC,20,MNB,New Year's Day,20070101T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20070405T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20070406T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,20070409T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20070501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20070612T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,20071101T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,20071130T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,20071225T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20071231T000000,Yes,20111208T000000
REC,20,MNB,New Year's Day,20080101T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20080320T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20080321T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,20080409T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20080501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20080612T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,20081225T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,20081230T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20081231T000000,Yes,20111208T000000
REC,20,MNB,New Year''s Day,20090101T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20090102T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,20090406T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20090409T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20090410T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20090501T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20090612T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20090624T000000,Yes,20111208T000000
REC,20,MNB,Special Holiday,20090805T000000,Yes,20111208T000000
REC,20,MNB,Ninoy Aquino Day,20090821T000000,Yes,20111208T000000
REC,20,MNB,Heroes Day,20090831T000000,Yes,20111208T000000
REC,20,MNB,Special Holiday,20090907T000000,Yes,20111208T000000
REC,20,MNB,Idul Fitri,20090921T000000,Yes,20111208T000000
REC,20,MNB,All Souls Day,20091102T000000,Yes,20111208T000000
REC,20,MNB,Idul Adha,20091127T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,20091130T000000,Yes,20111208T000000
REC,20,MNB,Christmas Eve,20091224T000000,Yes,20111208T000000
REC,20,MNB,Christmas Day,20091225T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,20091230T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20091231T000000,Yes,20111208T000000
REC,20,MNB,New Years Day,20100101T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20100401T000000,Yes,20111208T000000
REC,20,MNB,Good Friday,20100402T000000,Yes,20111208T000000
REC,20,MNB,Araw Ng Kagitingan,20100409T000000,Yes,20111208T000000
REC,20,MNB,Labor Day,20100503T000000,Yes,20111208T000000
REC,20,MNB,Election Day,20100510T000000,Yes,20111208T000000
REC,20,MNB,Independence Day,20100614T000000,Yes,20111208T000000
REC,20,MNB,Special Holiday,20100630T000000,Yes,20111208T000000
REC,20,MNB,Heroes Day,20100830T000000,Yes,20111208T000000
REC,20,MNB,Idul Fitri,20100910T000000,Yes,20111208T000000
REC,20,MNB,Election Day,20101025T000000,Yes,20111208T000000
REC,20,MNB,All Saints Day,20101101T000000,Yes,20111208T000000
REC,20,MNB,Idul Adha,20101116T000000,Yes,20111208T000000
REC,20,MNB,Bonifacio Day,20101129T000000,Yes,20111208T000000
REC,20,MNB,Christmas Eve,20101224T000000,Yes,20111208T000000
REC,20,MNB,Rizal Day,20101227T000000,Yes,20111208T000000
REC,20,MNB,Bank Holiday,20101231T000000,Yes,20111208T000000
REC,20,MNB,Holy Thursday,20110421T000000,Yes,20120112T000000
REC,20,MNB,Good Friday,20110422T000000,Yes,20120112T000000
REC,20,MNB,Special Holiday,20110620T000000,Yes,20120112T000000
REC,20,MNB,Heroes Day,20110829T000000,Yes,20120112T000000
REC,20,MNB,Idul Fitri,20110830T000000,Yes,20120112T000000
REC,20,MNB,Special Holiday,20110927T000000,Yes,20120112T000000
REC,20,MNB,Bank Holiday,20111031T000000,Yes,20120112T000000
REC,20,MNB,All Saints Day,20111101T000000,Yes,20120112T000000
REC,20,MNB,Idul Adha,20111107T000000,Yes,20120112T000000
REC,20,MNB,Bonifacio Day,20111130T000000,Yes,20120112T000000
REC,20,MNB,Rizal Day,20111230T000000,Yes,20120112T000000
REC,20,MNB,Chinese New Year,20120123T000000,Yes,20120905T000000
REC,20,MNB,Holy Thursday,20120405T000000,Yes,20120905T000000
REC,20,MNB,Good Friday,20120406T000000,Yes,20120905T000000
REC,20,MNB,Araw Ng Kagitingan,20120409T000000,Yes,20120905T000000
REC,20,MNB,Labor Day,20120501T000000,Yes,20120905T000000
REC,20,MNB,Independence Day,20120612T000000,Yes,20120905T000000
REC,20,MNB,Special Holiday,20120807T000000,Yes,20120905T000000
REC,20,MNB,Idul Fitri,20120820T000000,Yes,20120905T000000
REC,20,MNB,Ninoy Aquino Day,20120821T000000,Yes,20120905T000000
REC,20,MNB,Heroes Day,20120827T000000,Yes,20120905T000000
REC,20,MNB,Idul Adha,20121026T000000,Yes,20120905T000000
REC,20,MNB,All Saints Day,20121101T000000,Yes,20120905T000000
REC,20,MNB,All Souls Day,20121102T000000,Yes,20120905T000000
REC,20,MNB,Bonifacio Day,20121130T000000,Yes,20120905T000000
REC,20,MNB,Christmas Eve,20121224T000000,Yes,20120905T000000
REC,20,MNB,Christmas Day,20121225T000000,Yes,20120905T000000
REC,20,MNB,Bank Holiday,20121231T000000,Yes,20120905T000000
REC,20,MNB,New Years Day,20130101T000000,Yes,20131001T000000
REC,20,MNB,Holy Thursday,20130328T000000,Yes,20131001T000000
REC,20,MNB,Good Friday,20130329T000000,Yes,20131001T000000
REC,20,MNB,Araw Ng Kagitingan,20130409T000000,Yes,20131001T000000
REC,20,MNB,Labor Day,20130501T000000,Yes,20131001T000000
REC,20,MNB,Election Day,20130513T000000,Yes,20131001T000000
REC,20,MNB,Independence Day,20130612T000000,Yes,20131001T000000
REC,20,MNB,Idul Fitri,20130809T000000,Yes,20131001T000000
REC,20,MNB,Special Holiday,20130819T000000,Yes,20131001T000000
REC,20,MNB,Special Holiday,20130820T000000,Yes,20131001T000000
REC,20,MNB,Ninoy Aquino Day,20130821T000000,Yes,20131001T000000
REC,20,MNB,Heroes Day,20130826T000000,Yes,20131001T000000
REC,20,MNB,Idul Adha,20131015T000000,Yes,20131001T000000
REC,20,MNB,Election Day,20131028T000000,Yes,20131001T000000
REC,20,MNB,All Saints Day,20131101T000000,Yes,20131001T000000
REC,20,MNB,Christmas Eve,20131224T000000,Yes,20131001T000000
REC,20,MNB,Christmas Day,20131225T000000,Yes,20131001T000000
REC,20,MNB,Rizal Day,20131230T000000,Yes,20131001T000000
REC,20,MNB,Bank Holiday,20131231T000000,Yes,20131001T000000
REC,20,MNB,New Years Day,20140101T000000,Yes,20140919T000000
REC,20,MNB,Chinese New Year,20140131T000000,Yes,20140919T000000
REC,20,MNB,Araw Ng Kagitingan,20140409T000000,Yes,20140919T000000
REC,20,MNB,Holy Thursday,20140417T000000,Yes,20140919T000000
REC,20,MNB,Good Friday,20140418T000000,Yes,20140919T000000
REC,20,MNB,Labor Day,20140501T000000,Yes,20140919T000000
REC,20,MNB,Independence Day,20140612T000000,Yes,20140919T000000
REC,20,MNB,Special Holiday,20140716T000000,Yes,20140919T000000
REC,20,MNB,Idul Fitri,20140729T000000,Yes,20140919T000000
REC,20,MNB,Ninoy Aquino Day,20140821T000000,Yes,20140919T000000
REC,20,MNB,Heroes Day,20140825T000000,Yes,20140919T000000
REC,20,MNB,Special Holiday,20140919T000000,Yes,20140919T000000
REC,20,MNB,Idul Adha,20141006T000000,Yes,20140919T000000
REC,20,MNB,Special Holiday,20141208T000000,Yes,20141209T000000
REC,20,MNB,Christmas Eve,20141224T000000,Yes,20140919T000000
REC,20,MNB,Christmas Day,20141225T000000,Yes,20140919T000000
REC,20,MNB,Boxing Day,20141226T000000,Yes,20140919T000000
REC,20,MNB,Rizal Day,20141230T000000,Yes,20140919T000000
REC,20,MNB,Bank Holiday,20141231T000000,Yes,20140919T000000
REC,20,MNB,New Years Day,20150101T000000,Yes,20150915T000000
REC,20,MNB,Bank Holiday,20150102T000000,Yes,20150915T000000
REC,20,MNB,Special Holiday,20150115T000000,Yes,20150915T000000
REC,20,MNB,Special Holiday,20150116T000000,Yes,20150915T000000
REC,20,MNB,Chinese New Year,20150219T000000,Yes,20150915T000000
REC,20,MNB,Holy Thursday,20150402T000000,Yes,20150915T000000
REC,20,MNB,Good Friday,20150403T000000,Yes,20150915T000000
REC,20,MNB,Araw Ng Kagitingan,20150409T000000,Yes,20150915T000000
REC,20,MNB,Labor Day,20150501T000000,Yes,20150915T000000
REC,20,MNB,Independence Day,20150612T000000,Yes,20150915T000000
REC,20,MNB,Idul Fitri,20150717T000000,Yes,20150915T000000
REC,20,MNB,Ninoy Aquino Day,20150821T000000,Yes,20150915T000000
REC,20,MNB,Heroes Day,20150831T000000,Yes,20150915T000000
REC,20,MNB,Idul Adha,20150925T000000,Yes,20150915T000000
REC,20,MNB,Special Holiday,20151118T000000,Yes,20150915T000000
REC,20,MNB,Special Holiday,20151119T000000,Yes,20150915T000000
REC,20,MNB,Bonifacio Day,20151130T000000,Yes,20150915T000000
REC,20,MNB,Christmas Eve,20151224T000000,Yes,20150915T000000
REC,20,MNB,Christmas Day,20151225T000000,Yes,20150915T000000
REC,20,MNB,Rizal Day,20151230T000000,Yes,20150915T000000
REC,20,MNB,Bank Holiday,20151231T000000,Yes,20150915T000000
REC,20,MNB,New Years Day,20160101T000000,Yes,20161214T000000
REC,20,MNB,Chinese New Year,20160208T000000,Yes,20161214T000000
REC,20,MNB,Revolution Day,20160225T000000,Yes,20161214T000000
REC,20,MNB,Holy Thursday,20160324T000000,Yes,20161214T000000
REC,20,MNB,Good Friday,20160325T000000,Yes,20161214T000000
REC,20,MNB,Election Day,20160509T000000,Yes,20161214T000000
REC,20,MNB,Idul Fitri,20160706T000000,Yes,20161214T000000
REC,20,MNB,Heroes Day,20160829T000000,Yes,20161214T000000
REC,20,MNB,Idul Adha,20160912T000000,Yes,20161214T000000
REC,20,MNB,Election Day,20161031T000000,Yes,20161214T000000
REC,20,MNB,All Saints Day,20161101T000000,Yes,20161214T000000
REC,20,MNB,Bonifacio Day,20161130T000000,Yes,20161214T000000
REC,20,MNB,Christmas Day Observed,20161226T000000,Yes,20161214T000000
REC,20,MNB,Rizal Day,20161230T000000,Yes,20161214T000000
REC,20,MNB,New Years Day Observed,20170102T000000,Yes,20171229T000000
REC,20,MNB,Holy Thursday,20170413T000000,Yes,20171229T000000
REC,20,MNB,Good Friday,20170414T000000,Yes,20171229T000000
REC,20,MNB,Special Holiday,20170428T000000,Yes,20171229T000000
REC,20,MNB,Labor Day,20170501T000000,Yes,20171229T000000
REC,20,MNB,Independence Day,20170612T000000,Yes,20171229T000000
REC,20,MNB,Idul Fitri,20170626T000000,Yes,20171229T000000
REC,20,MNB,Ninoy Aquino Day,20170821T000000,Yes,20171229T000000
REC,20,MNB,Heroes Day,20170828T000000,Yes,20171229T000000
REC,20,MNB,Idul Adha,20170901T000000,Yes,20171229T000000
REC,20,MNB,Special Holiday,20170912T000000,Yes,20171229T000000
REC,20,MNB,Special Holiday,20171016T000000,Yes,20171229T000000
REC,20,MNB,Bank Holiday,20171031T000000,Yes,20171229T000000
REC,20,MNB,All Saints Day,20171101T000000,Yes,20171229T000000
REC,20,MNB,Bonifacio Day,20171130T000000,Yes,20171229T000000
REC,20,MNB,Christmas Day,20171225T000000,Yes,20171229T000000
REC,20,MNB,Boxing Day,20171226T000000,Yes,20171229T000000
REC,20,MNB,New Years Day,20180101T000000,Yes,20180816T000000
REC,20,MNB,Bank Holiday,20180102T000000,Yes,20180816T000000
REC,20,MNB,Chinese New Year,20180216T000000,Yes,20180816T000000
REC,20,MNB,Holy Thursday,20180329T000000,Yes,20180816T000000
REC,20,MNB,Good Friday,20180330T000000,Yes,20180816T000000
REC,20,MNB,Araw Ng Kagitingan,20180409T000000,Yes,20180816T000000
REC,20,MNB,Labor Day,20180501T000000,Yes,20180816T000000
REC,20,MNB,Election Day,20180514T000000,Yes,20180816T000000
REC,20,MNB,Independence Day,20180612T000000,Yes,20180816T000000
REC,20,MNB,Idul Fitri,20180615T000000,Yes,20180816T000000
REC,20,MNB,Ninoy Aquino Day,20180821T000000,Yes,20180816T000000
REC,20,MNB,Heroes Day,20180827T000000,Yes,20180816T000000
REC,20,MNB,All Saints Day,20181101T000000,Yes,20180816T000000
REC,20,MNB,All Souls Day,20181102T000000,Yes,20180816T000000
REC,20,MNB,Bonifacio Day,20181130T000000,Yes,20180816T000000
REC,20,MNB,Christmas Eve,20181224T000000,Yes,20180816T000000
REC,20,MNB,Christmas Day,20181225T000000,Yes,20180816T000000
REC,20,MNB,Bank Holiday,20181231T000000,Yes,20180816T000000
REC,20,MNB,New Years Day,20190101T000000,Yes,20191119T000000
REC,20,MNB,Chinese New Year,20190205T000000,Yes,20191119T000000
REC,20,MNB,Revolution Day,20190225T000000,Yes,20191119T000000
REC,20,MNB,Araw Ng Kagitingan,20190409T000000,Yes,20191119T000000
REC,20,MNB,Holy Thursday,20190418T000000,Yes,20191119T000000
REC,20,MNB,Good Friday,20190419T000000,Yes,20191119T000000
REC,20,MNB,Labor Day,20190501T000000,Yes,20191119T000000
REC,20,MNB,Election Day,20190513T000000,Yes,20191119T000000
REC,20,MNB,Idul Fitri,20190605T000000,Yes,20191119T000000
REC,20,MNB,Independence Day,20190612T000000,Yes,20191119T000000
REC,20,MNB,Idul Adha,20190812T000000,Yes,20191119T000000
REC,20,MNB,Ninoy Aquino Day,20190821T000000,Yes,20191119T000000
REC,20,MNB,Heroes Day,20190826T000000,Yes,20191119T000000
REC,20,MNB,All Saints Day,20191101T000000,Yes,20191119T000000
REC,20,MNB,Christmas Eve,20191224T000000,Yes,20191119T000000
REC,20,MNB,Christmas Day,20191225T000000,Yes,20191119T000000
REC,20,MNB,Rizal Day,20191230T000000,Yes,20191119T000000
REC,20,MNB,Bank Holiday,20191231T000000,Yes,20191119T000000
REC,20,MNB,New Years Day,20200101T000000,Yes,20201112T000000
REC,20,MNB,Special Holiday,20200113T000000,Yes,20201112T000000
REC,20,MNB,Revolution Day,20200225T000000,Yes,20201112T000000
REC,20,MNB,Holy Thursday,20200409T000000,Yes,20201112T000000
REC,20,MNB,Good Friday,20200410T000000,Yes,20201112T000000
REC,20,MNB,Labor Day,20200501T000000,Yes,20201112T000000
REC,20,MNB,Idul Fitri,20200525T000000,Yes,20201112T000000
REC,20,MNB,Independence Day,20200612T000000,Yes,20201112T000000
REC,20,MNB,Idul Adha,20200731T000000,Yes,20201112T000000
REC,20,MNB,Ninoy Aquino Day,20200821T000000,Yes,20201112T000000
REC,20,MNB,Heroes Day,20200831T000000,Yes,20201112T000000
REC,20,MNB,All Souls Day,20201102T000000,Yes,20201112T000000
REC,20,MNB,Special Holiday,20201112T000000,Yes,20201112T000000
REC,20,MNB,Bonifacio Day,20201130T000000,Yes,20201112T000000
REC,20,MNB,Immaculate Conception,20201208T000000,Yes,20201112T000000
REC,20,MNB,Christmas Eve,20201224T000000,Yes,20201112T000000
REC,20,MNB,Christmas Day,20201225T000000,Yes,20201112T000000
REC,20,MNB,Rizal Day,20201230T000000,Yes,20201112T000000
REC,20,MNB,Bank Holiday,20201231T000000,Yes,20201112T000000
REC,20,MNB,Chinese New Year,20210212T000000,Yes,20210413T000000
REC,20,MNB,Revolution Day,20210225T000000,Yes,20210413T000000
