#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5026,NEB,New Delhi Bank Holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5026,NEB,Republic Day,20110126T000000,Yes,20151103T000000
REC,5026,NEB,Maulid Al-Nabi,20110216T000000,Yes,20151103T000000
REC,5026,NEB,Yearly Bank Closing,20110401T000000,Yes,20151103T000000
REC,5026,NEB,Ram Navami,20110412T000000,Yes,20151103T000000
REC,5026,NEB,Dr. Ambedkar Jayanti,20110414T000000,Yes,20151103T000000
REC,5026,NEB,Mahavir Jayanti,20110416T000000,Yes,20151103T000000
REC,5026,NEB,Good Friday,20110422T000000,Yes,20151103T000000
REC,5026,NEB,Buddha Purnima,20110517T000000,Yes,20151103T000000
REC,5026,NEB,Independence Day,20110815T000000,Yes,20151103T000000
REC,5026,NEB,Janmastami,20110822T000000,Yes,20151103T000000
REC,5026,NEB,Idul Fitri,20110831T000000,Yes,20151103T000000
REC,5026,NEB,Half Yearly Bank Closing,20110930T000000,Yes,20151103T000000
REC,5026,NEB,Dussehra,20111006T000000,Yes,20151103T000000
REC,5026,NEB,Deepavali,20111026T000000,Yes,20151103T000000
REC,5026,NEB,Idul Adha,20111107T000000,Yes,20151103T000000
REC,5026,NEB,Guru Nanaks Birthday,20111110T000000,Yes,20151103T000000
REC,5026,NEB,Muharram,20111206T000000,Yes,20151103T000000
REC,5026,NEB,Republic Day,20120126T000000,Yes,20151103T000000
REC,5026,NEB,Mahashivratri,20120220T000000,Yes,20151103T000000
REC,5026,NEB,Holi,20120308T000000,Yes,20151103T000000
REC,5026,NEB,Yearly Bank Closing,20120402T000000,Yes,20151103T000000
REC,5026,NEB,Mahavir Jayanti,20120405T000000,Yes,20151103T000000
REC,5026,NEB,Good Friday,20120406T000000,Yes,20151103T000000
REC,5026,NEB,Dr. Ambedkar Jayanti,20120414T000000,Yes,20151103T000000
REC,5026,NEB,Janmastami,20120810T000000,Yes,20151103T000000
REC,5026,NEB,Independence Day,20120815T000000,Yes,20151103T000000
REC,5026,NEB,Idul Fitri,20120820T000000,Yes,20151103T000000
REC,5026,NEB,Half Yearly Bank Closing,20120929T000000,Yes,20151103T000000
REC,5026,NEB,Gandhi Jayanti,20121002T000000,Yes,20151103T000000
REC,5026,NEB,Dussehra,20121024T000000,Yes,20151103T000000
REC,5026,NEB,Idul Adha,20121027T000000,Yes,20151103T000000
REC,5026,NEB,Deepavali,20121113T000000,Yes,20151103T000000
REC,5026,NEB,Guru Nanaks Birthday,20121128T000000,Yes,20151103T000000
REC,5026,NEB,Christmas Day,20121225T000000,Yes,20151103T000000
REC,5026,NEB,Maulid Al-Nabi,20130125T000000,Yes,20151103T000000
REC,5026,NEB,Republic Day,20130126T000000,Yes,20151103T000000
REC,5026,NEB,Holi,20130327T000000,Yes,20151103T000000
REC,5026,NEB,Good Friday,20130329T000000,Yes,20151103T000000
REC,5026,NEB,Yearly Bank Closing,20130401T000000,Yes,20151103T000000
REC,5026,NEB,Mahavir Jayanti,20130424T000000,Yes,20151103T000000
REC,5026,NEB,Buddha Purnima,20130525T000000,Yes,20151103T000000
REC,5026,NEB,Idul Fitri,20130809T000000,Yes,20151103T000000
REC,5026,NEB,Independence Day,20130815T000000,Yes,20151103T000000
REC,5026,NEB,Gandhi Jayanti,20131002T000000,Yes,20151103T000000
REC,5026,NEB,Idul Adha,20131016T000000,Yes,20151103T000000
REC,5026,NEB,Muharram,20131115T000000,Yes,20151103T000000
REC,5026,NEB,Election Day,20131204T000000,Yes,20151103T000000
REC,5026,NEB,Christmas Day,20131225T000000,Yes,20151103T000000
REC,5026,NEB,Maulid Al-Nabi,20140114T000000,Yes,20151103T000000
REC,5026,NEB,Holi,20140317T000000,Yes,20151103T000000
REC,5026,NEB,Yearly Bank Closing,20140401T000000,Yes,20151103T000000
REC,5026,NEB,Election Day,20140410T000000,Yes,20151103T000000
REC,5026,NEB,Dr. Ambedkar Jayanti,20140414T000000,Yes,20151103T000000
REC,5026,NEB,Good Friday,20140418T000000,Yes,20151103T000000
REC,5026,NEB,Buddha Purnima,20140514T000000,Yes,20151103T000000
REC,5026,NEB,Idul Fitri,20140729T000000,Yes,20151103T000000
REC,5026,NEB,Independence Day,20140815T000000,Yes,20151103T000000
REC,5026,NEB,Gandhi Jayanti,20141002T000000,Yes,20151103T000000
REC,5026,NEB,Dussehra,20141003T000000,Yes,20151103T000000
REC,5026,NEB,Idul Adha,20141006T000000,Yes,20151103T000000
REC,5026,NEB,Deepavali,20141023T000000,Yes,20151103T000000
REC,5026,NEB,Muharram,20141104T000000,Yes,20151103T000000
REC,5026,NEB,Guru Nanaks Birthday,20141106T000000,Yes,20151103T000000
REC,5026,NEB,Christmas Day,20141225T000000,Yes,20151103T000000
REC,5026,NEB,Republic Day,20150126T000000,Yes,20151103T000000
REC,5026,NEB,Election Day,20150207T000000,Yes,20151103T000000
REC,5026,NEB,Holi,20150306T000000,Yes,20151103T000000
REC,5026,NEB,Yearly Bank Closing,20150401T000000,Yes,20151103T000000
REC,5026,NEB,Mahavir Jayanti,20150402T000000,Yes,20151103T000000
REC,5026,NEB,Good Friday,20150403T000000,Yes,20151103T000000
REC,5026,NEB,Dr. Ambedkar Jayanti,20150414T000000,Yes,20151103T000000
REC,5026,NEB,Buddha Purnima,20150504T000000,Yes,20151103T000000
REC,5026,NEB,Idul Fitri,20150718T000000,Yes,20151103T000000
REC,5026,NEB,Independence Day,20150815T000000,Yes,20151103T000000
REC,5026,NEB,Janmastami,20150905T000000,Yes,20151103T000000
REC,5026,NEB,Idul Adha,20150925T000000,Yes,20151103T000000
REC,5026,NEB,Gandhi Jayanti,20151002T000000,Yes,20151103T000000
REC,5026,NEB,Dussehra,20151022T000000,Yes,20151103T000000
REC,5026,NEB,Deepavali,20151111T000000,Yes,20151103T000000
REC,5026,NEB,Guru Nanaks Birthday,20151125T000000,Yes,20151103T000000
REC,5026,NEB,Maulid Al-Nabi,20151224T000000,Yes,20151103T000000
REC,5026,NEB,Christmas Day,20151225T000000,Yes,20151103T000000
REC,5026,NEB,Republic Day,20160126T000000,Yes,20170104T000000
REC,5026,NEB,Holi,20160324T000000,Yes,20170104T000000
REC,5026,NEB,Good Friday,20160325T000000,Yes,20170104T000000
REC,5026,NEB,Yearly Bank Closing,20160401T000000,Yes,20170104T000000
REC,5026,NEB,Dr. Ambedkar Jayanti,20160414T000000,Yes,20170104T000000
REC,5026,NEB,Mahavir Jayanti,20160420T000000,Yes,20170104T000000
REC,5026,NEB,Buddha Purnima,20160521T000000,Yes,20170104T000000
REC,5026,NEB,Idul Fitri,20160707T000000,Yes,20170104T000000
REC,5026,NEB,Independence Day,20160815T000000,Yes,20170104T000000
REC,5026,NEB,Idul Adha,20160913T000000,Yes,20170104T000000
REC,5026,NEB,Dussehra,20161011T000000,Yes,20170104T000000
REC,5026,NEB,Muharram,20161012T000000,Yes,20170104T000000
REC,5026,NEB,Guru Nanaks Birthday,20161114T000000,Yes,20170104T000000
REC,5026,NEB,Maulid Al-Nabi,20161212T000000,Yes,20170104T000000
REC,5026,NEB,Bank Holiday,20170105T000000,Yes,20170126T000000
REC,5026,NEB,Republic Day,20170126T000000,Yes,20170126T000000
REC,5026,NEB,Holi,20170313T000000,Yes,20170126T000000
REC,5026,NEB,Yearly Bank Closing,20170401T000000,Yes,20170126T000000
