#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5003,NYB,New York bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5003,NYB, ,19880101T000000,Yes,20151020T000000
REC,5003,NYB, ,19880118T000000,Yes,20151020T000000
REC,5003,NYB, ,19880215T000000,Yes,20151020T000000
REC,5003,NYB, ,19880530T000000,Yes,20151020T000000
REC,5003,NYB, ,19880704T000000,Yes,20151020T000000
REC,5003,NYB, ,19880905T000000,Yes,20151020T000000
REC,5003,NYB, ,19881010T000000,Yes,20151020T000000
REC,5003,NYB, ,19881108T000000,Yes,20151020T000000
REC,5003,NYB, ,19881124T000000,Yes,20151020T000000
REC,5003,NYB, ,19881226T000000,Yes,20151020T000000
REC,5003,NYB, ,19890102T000000,Yes,20151020T000000
REC,5003,NYB, ,19890116T000000,Yes,20151020T000000
REC,5003,NYB, ,19890220T000000,Yes,20151020T000000
REC,5003,NYB, ,19890529T000000,Yes,20151020T000000
REC,5003,NYB, ,19890704T000000,Yes,20151020T000000
REC,5003,NYB, ,19890904T000000,Yes,20151020T000000
REC,5003,NYB, ,19891009T000000,Yes,20151020T000000
REC,5003,NYB, ,19891123T000000,Yes,20151020T000000
REC,5003,NYB, ,19891225T000000,Yes,20151020T000000
REC,5003,NYB, ,19900101T000000,Yes,20151020T000000
REC,5003,NYB, ,19900115T000000,Yes,20151020T000000
REC,5003,NYB, ,19900219T000000,Yes,20151020T000000
REC,5003,NYB, ,19900528T000000,Yes,20151020T000000
REC,5003,NYB, ,19900704T000000,Yes,20151020T000000
REC,5003,NYB, ,19900903T000000,Yes,20151020T000000
REC,5003,NYB, ,19901008T000000,Yes,20151020T000000
REC,5003,NYB, ,19901111T000000,Yes,20151020T000000
REC,5003,NYB, ,19901112T000000,Yes,20151020T000000
REC,5003,NYB, ,19901122T000000,Yes,20151020T000000
REC,5003,NYB, ,19901225T000000,Yes,20151020T000000
REC,5003,NYB, ,19910101T000000,Yes,20151020T000000
REC,5003,NYB, ,19910121T000000,Yes,20151020T000000
REC,5003,NYB, ,19910218T000000,Yes,20151020T000000
REC,5003,NYB, ,19910527T000000,Yes,20151020T000000
REC,5003,NYB, ,19910704T000000,Yes,20151020T000000
REC,5003,NYB, ,19910902T000000,Yes,20151020T000000
REC,5003,NYB, ,19911014T000000,Yes,20151020T000000
REC,5003,NYB, ,19911111T000000,Yes,20151020T000000
REC,5003,NYB, ,19911128T000000,Yes,20151020T000000
REC,5003,NYB, ,19911225T000000,Yes,20151020T000000
REC,5003,NYB, ,19920101T000000,Yes,20151020T000000
REC,5003,NYB, ,19920120T000000,Yes,20151020T000000
REC,5003,NYB, ,19920217T000000,Yes,20151020T000000
REC,5003,NYB, ,19920525T000000,Yes,20151020T000000
REC,5003,NYB, ,19920704T000000,Yes,20151020T000000
REC,5003,NYB, ,19920907T000000,Yes,20151020T000000
REC,5003,NYB, ,19921012T000000,Yes,20151020T000000
REC,5003,NYB, ,19921111T000000,Yes,20151020T000000
REC,5003,NYB, ,19921126T000000,Yes,20151020T000000
REC,5003,NYB, ,19921225T000000,Yes,20151020T000000
REC,5003,NYB, ,19930101T000000,Yes,20151020T000000
REC,5003,NYB, ,19930118T000000,Yes,20151020T000000
REC,5003,NYB, ,19930215T000000,Yes,20151020T000000
REC,5003,NYB, ,19930531T000000,Yes,20151020T000000
REC,5003,NYB, ,19930705T000000,Yes,20151020T000000
REC,5003,NYB, ,19930906T000000,Yes,20151020T000000
REC,5003,NYB, ,19931011T000000,Yes,20151020T000000
REC,5003,NYB, ,19931111T000000,Yes,20151020T000000
