#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,1,LNB,London bank holidays,65
REC,5003,NYB,New York bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,1,LNB, ,19880101T000000,Yes,20190612T000000
REC,1,LNB, ,19880401T000000,Yes,20190612T000000
REC,1,LNB, ,19880404T000000,Yes,20190612T000000
REC,1,LNB, ,19880502T000000,Yes,20190612T000000
REC,1,LNB, ,19880530T000000,Yes,20190612T000000
REC,1,LNB, ,19880829T000000,Yes,20190612T000000
REC,1,LNB, ,19881226T000000,Yes,20190612T000000
REC,1,LNB, ,19881227T000000,Yes,20190612T000000
REC,1,LNB, ,19890102T000000,Yes,20190612T000000
REC,1,LNB, ,19890324T000000,Yes,20190612T000000
REC,1,LNB, ,19890327T000000,Yes,20190612T000000
REC,1,LNB, ,19890501T000000,Yes,20190612T000000
REC,1,LNB, ,19890529T000000,Yes,20190612T000000
REC,1,LNB, ,19890828T000000,Yes,20190612T000000
REC,1,LNB, ,19891225T000000,Yes,20190612T000000
REC,1,LNB, ,19891226T000000,Yes,20190612T000000
REC,1,LNB, ,19900101T000000,Yes,20190612T000000
REC,1,LNB, ,19900413T000000,Yes,20190612T000000
REC,1,LNB, ,19900416T000000,Yes,20190612T000000
REC,1,LNB, ,19900507T000000,Yes,20190612T000000
REC,1,LNB, ,19900528T000000,Yes,20190612T000000
REC,1,LNB, ,19900827T000000,Yes,20190612T000000
REC,1,LNB, ,19901225T000000,Yes,20190612T000000
REC,1,LNB, ,19901226T000000,Yes,20190612T000000
REC,1,LNB, ,19910101T000000,Yes,20190612T000000
REC,1,LNB, ,19910329T000000,Yes,20190612T000000
REC,1,LNB, ,19910401T000000,Yes,20190612T000000
REC,1,LNB, ,19910506T000000,Yes,20190612T000000
REC,1,LNB, ,19910527T000000,Yes,20190612T000000
REC,1,LNB, ,19910826T000000,Yes,20190612T000000
REC,1,LNB, ,19911225T000000,Yes,20190612T000000
REC,1,LNB, ,19911226T000000,Yes,20190612T000000
REC,1,LNB, ,19920101T000000,Yes,20190612T000000
REC,1,LNB, ,19920417T000000,Yes,20190612T000000
REC,1,LNB, ,19920420T000000,Yes,20190612T000000
REC,1,LNB, ,19920504T000000,Yes,20190612T000000
REC,1,LNB, ,19920525T000000,Yes,20190612T000000
REC,1,LNB, ,19920831T000000,Yes,20190612T000000
REC,1,LNB, ,19921225T000000,Yes,20190612T000000
REC,1,LNB, ,19921228T000000,Yes,20190612T000000
REC,1,LNB, ,19930101T000000,Yes,20190612T000000
REC,1,LNB, ,19930409T000000,Yes,20190612T000000
REC,1,LNB, ,19930412T000000,Yes,20190612T000000
REC,1,LNB, ,19930503T000000,Yes,20190612T000000
REC,1,LNB, ,19930531T000000,Yes,20190612T000000
REC,1,LNB, ,19930830T000000,Yes,20190612T000000
REC,1,LNB, ,19931227T000000,Yes,20190612T000000
REC,1,LNB, ,19931228T000000,Yes,20190612T000000
REC,1,LNB, ,19940103T000000,Yes,20190612T000000
REC,1,LNB, ,19940401T000000,Yes,20190612T000000
REC,1,LNB, ,19940404T000000,Yes,20190612T000000
REC,1,LNB, ,19940502T000000,Yes,20190612T000000
REC,1,LNB, ,19940530T000000,Yes,20190612T000000
REC,1,LNB, ,19940829T000000,Yes,20190612T000000
REC,1,LNB, ,19941226T000000,Yes,20190612T000000
REC,1,LNB, ,19941227T000000,Yes,20190612T000000
REC,1,LNB, ,19950102T000000,Yes,20190612T000000
REC,1,LNB, ,19950414T000000,Yes,20190612T000000
REC,1,LNB, ,19950417T000000,Yes,20190612T000000
REC,1,LNB, ,19950501T000000,Yes,20190612T000000
REC,1,LNB, ,19950529T000000,Yes,20190612T000000
