#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,9,PAB,Paris bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,9,PAB, ,19910101T000000,Yes,
REC,9,PAB, ,19910401T000000,Yes,
REC,9,PAB, ,19910501T000000,Yes,
REC,9,PAB, ,19910508T000000,Yes,
REC,9,PAB, ,19910509T000000,Yes,
REC,9,PAB, ,19910520T000000,Yes,
REC,9,PAB, ,19910714T000000,Yes,
REC,9,PAB, ,19910815T000000,Yes,
REC,9,PAB, ,19911107T000000,Yes,
REC,9,PAB, ,19911111T000000,Yes,
REC,9,PAB, ,19911225T000000,Yes,
REC,9,PAB, ,19920101T000000,Yes,
REC,9,PAB, ,19920418T000000,Yes,
REC,9,PAB, ,19920420T000000,Yes,
REC,9,PAB, ,19920501T000000,Yes,
REC,9,PAB, ,19920508T000000,Yes,
REC,9,PAB, ,19920528T000000,Yes,
REC,9,PAB, ,19920606T000000,Yes,
REC,9,PAB, ,19920608T000000,Yes,
REC,9,PAB, ,19920713T000000,Yes,
REC,9,PAB, ,19920714T000000,Yes,
REC,9,PAB, ,19920815T000000,Yes,
REC,9,PAB, ,19921101T000000,Yes,
REC,9,PAB, ,19921111T000000,Yes,
REC,9,PAB, ,19921225T000000,Yes,
REC,9,PAB, ,19921226T000000,Yes,
REC,9,PAB, ,19930101T000000,Yes,
REC,9,PAB, ,19930409T000000,Yes,
REC,9,PAB, ,19930410T000000,Yes,
REC,9,PAB, ,19930412T000000,Yes,
REC,9,PAB, ,19930501T000000,Yes,
REC,9,PAB, ,19930508T000000,Yes,
REC,9,PAB, ,19930519T000000,Yes,
REC,9,PAB, ,19930529T000000,Yes,
REC,9,PAB, ,19930531T000000,Yes,
REC,9,PAB, ,19930614T000000,Yes,
REC,9,PAB, ,19930815T000000,Yes,
REC,9,PAB, ,19930816T000000,Yes,
REC,9,PAB, ,19931101T000000,Yes,
REC,9,PAB, ,19931111T000000,Yes,
REC,9,PAB, ,19931225T000000,Yes,
REC,9,PAB, ,19940101T000000,Yes,
REC,9,PAB, ,19940401T000000,Yes,
REC,9,PAB, ,19940402T000000,Yes,
REC,9,PAB, ,19940404T000000,Yes,
REC,9,PAB, ,19940501T000000,Yes,
REC,9,PAB, ,19940508T000000,Yes,
REC,9,PAB, ,19940511T000000,Yes,
REC,9,PAB, ,19940521T000000,Yes,
REC,9,PAB, ,19940523T000000,Yes,
REC,9,PAB, ,19940614T000000,Yes,
REC,9,PAB, ,19940815T000000,Yes,
REC,9,PAB, ,19941101T000000,Yes,
