#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,21,SEB,Seoul bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,21,SEB, ,19931125T000000,Yes,20170110T000000
REC,21,SEB, ,19931126T000000,Yes,20170110T000000
REC,21,SEB, ,19931224T000000,Yes,20170110T000000
REC,21,SEB, ,19931231T000000,Yes,20170110T000000
REC,21,SEB, ,19940101T000000,Yes,20170110T000000
REC,21,SEB, ,19940102T000000,Yes,20170110T000000
REC,21,SEB, ,19940221T000000,Yes,20170110T000000
REC,21,SEB, ,19940401T000000,Yes,20170110T000000
REC,21,SEB, ,19940427T000000,Yes,20170110T000000
REC,21,SEB, ,19940530T000000,Yes,20170110T000000
REC,21,SEB, ,19940704T000000,Yes,20170110T000000
REC,21,SEB, ,19940905T000000,Yes,20170110T000000
REC,21,SEB, ,19941124T000000,Yes,20170110T000000
REC,21,SEB, ,19941125T000000,Yes,20170110T000000
REC,21,SEB, ,19941226T000000,Yes,20170110T000000
REC,21,SEB, ,19950102T000000,Yes,20170110T000000
REC,21,SEB, ,19950220T000000,Yes,20170110T000000
REC,21,SEB, ,19950414T000000,Yes,20170110T000000
REC,21,SEB, ,19950529T000000,Yes,20170110T000000
REC,21,SEB, ,19950704T000000,Yes,20170110T000000
REC,21,SEB, ,19950904T000000,Yes,20170110T000000
REC,21,SEB, ,19951123T000000,Yes,20170110T000000
REC,21,SEB, ,19951124T000000,Yes,20170110T000000
REC,21,SEB, ,19951225T000000,Yes,20170110T000000
REC,21,SEB, ,19960101T000000,Yes,20170110T000000
REC,21,SEB, ,19960219T000000,Yes,20170110T000000
REC,21,SEB, ,19960405T000000,Yes,20170110T000000
REC,21,SEB, ,19960527T000000,Yes,20170110T000000
REC,21,SEB, ,19960704T000000,Yes,20170110T000000
REC,21,SEB, ,19960902T000000,Yes,20170110T000000
REC,21,SEB, ,19961128T000000,Yes,20170110T000000
REC,21,SEB, ,19961129T000000,Yes,20170110T000000
REC,21,SEB, ,19961225T000000,Yes,20170110T000000
REC,21,SEB, ,19970101T000000,Yes,20170110T000000
REC,21,SEB, ,19970217T000000,Yes,20170110T000000
REC,21,SEB, ,19970328T000000,Yes,20170110T000000
REC,21,SEB, ,19970526T000000,Yes,20170110T000000
REC,21,SEB, ,19970704T000000,Yes,20170110T000000
REC,21,SEB, ,19970901T000000,Yes,20170110T000000
REC,21,SEB, ,19971127T000000,Yes,20170110T000000
REC,21,SEB, ,19971128T000000,Yes,20170110T000000
REC,21,SEB, ,19971225T000000,Yes,20170110T000000
REC,21,SEB,New Year's Day,19980101T000000,Yes,20170110T000000
REC,21,SEB,New Year's Holiday,19980102T000000,Yes,20170110T000000
REC,21,SEB,Lunar New Year's Eve,19980127T000000,Yes,20170110T000000
REC,21,SEB,Lunar New Year's Day,19980128T000000,Yes,20170110T000000
REC,21,SEB,Second Day of Lunar New Year,19980129T000000,Yes,20170110T000000
REC,21,SEB,Labour Day,19980501T000000,Yes,20170110T000000
REC,21,SEB,Children's Day,19980505T000000,Yes,20170110T000000
REC,21,SEB,Memorial Day,19980606T000000,Yes,20170110T000000
REC,21,SEB,Constitution Day,19980717T000000,Yes,20170110T000000
REC,21,SEB,Liberation Day,19980815T000000,Yes,20170110T000000
REC,21,SEB,National Foundation Day,19981003T000000,Yes,20170110T000000
REC,21,SEB,Chusok,19981005T000000,Yes,20170110T000000
REC,21,SEB,Chusok,19981006T000000,Yes,20170110T000000
REC,21,SEB,Christmas Day,19981225T000000,Yes,20170110T000000
REC,21,SEB,New Year's Day,19990101T000000,Yes,20170110T000000
