#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,24,SIB,Singapore bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,24,SIB, ,19940221T000000,Yes,
REC,24,SIB, ,19940401T000000,Yes,
REC,24,SIB, ,19940530T000000,Yes,
REC,24,SIB, ,19940704T000000,Yes,
REC,24,SIB, ,19940905T000000,Yes,
REC,24,SIB, ,19941124T000000,Yes,
REC,24,SIB, ,19941125T000000,Yes,
REC,24,SIB, ,19941226T000000,Yes,
REC,24,SIB, ,19950102T000000,Yes,
REC,24,SIB, ,19950220T000000,Yes,
REC,24,SIB, ,19950414T000000,Yes,
REC,24,SIB, ,19950529T000000,Yes,
REC,24,SIB, ,19950704T000000,Yes,
REC,24,SIB, ,19950904T000000,Yes,
REC,24,SIB, ,19951009T000000,Yes,
REC,24,SIB, ,19951123T000000,Yes,
REC,24,SIB, ,19951225T000000,Yes,
REC,24,SIB, ,19960101T000000,Yes,
REC,24,SIB, ,19960219T000000,Yes,
REC,24,SIB, ,19960405T000000,Yes,
REC,24,SIB, ,19960527T000000,Yes,
REC,24,SIB, ,19960704T000000,Yes,
REC,24,SIB, ,19960902T000000,Yes,
REC,24,SIB, ,19961128T000000,Yes,
REC,24,SIB, ,19961129T000000,Yes,
REC,24,SIB, ,19961225T000000,Yes,
REC,24,SIB, ,19970101T000000,Yes,
REC,24,SIB, ,19970217T000000,Yes,
REC,24,SIB, ,19970328T000000,Yes,
REC,24,SIB, ,19970526T000000,Yes,
REC,24,SIB, ,19970704T000000,Yes,
REC,24,SIB, ,19970901T000000,Yes,
REC,24,SIB, ,19971127T000000,Yes,
REC,24,SIB, ,19971128T000000,Yes,
REC,24,SIB, ,19971225T000000,Yes,
REC,24,SIB,New Year's Day,19980101T000000,Yes,19980323T000000
REC,24,SIB,Chinese New Year,19980128T000000,Yes,19980323T000000
REC,24,SIB,Second Day of Chinese New Year,19980129T000000,Yes,19980323T000000
REC,24,SIB,Hari Raya Puasa,19980130T000000,Yes,19980323T000000
REC,24,SIB,Hari Raya Haji,19980407T000000,Yes,19980323T000000
REC,24,SIB,Good Friday,19980410T000000,Yes,19980323T000000
REC,24,SIB,Labour Day,19980501T000000,Yes,19980323T000000
REC,24,SIB,Vesak Day,19980511T000000,Yes,19980323T000000
