#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,10,SYB,Sydney bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,10,SYB, ,19910101T000000,Yes,
REC,10,SYB, ,19910128T000000,Yes,
REC,10,SYB, ,19910329T000000,Yes,
REC,10,SYB, ,19910330T000000,Yes,
REC,10,SYB, ,19910401T000000,Yes,
REC,10,SYB, ,19910425T000000,Yes,
REC,10,SYB, ,19910610T000000,Yes,
REC,10,SYB, ,19910805T000000,Yes,
REC,10,SYB, ,19911007T000000,Yes,
REC,10,SYB, ,19911225T000000,Yes,
REC,10,SYB, ,19911226T000000,Yes,
REC,10,SYB, ,19920101T000000,Yes,
REC,10,SYB, ,19920127T000000,Yes,
REC,10,SYB, ,19920417T000000,Yes,
REC,10,SYB, ,19920418T000000,Yes,
REC,10,SYB, ,19920420T000000,Yes,
REC,10,SYB, ,19920425T000000,Yes,
REC,10,SYB, ,19920608T000000,Yes,
REC,10,SYB, ,19920803T000000,Yes,
REC,10,SYB, ,19921005T000000,Yes,
REC,10,SYB, ,19921225T000000,Yes,
REC,10,SYB, ,19921226T000000,Yes,
REC,10,SYB, ,19921228T000000,Yes,
REC,10,SYB,New Year's Day,19960101T000000,Yes,19960116T000000
REC,10,SYB,Australia Day,19960126T000000,Yes,19960116T000000
REC,10,SYB,Good Friday,19960405T000000,Yes,19960116T000000
REC,10,SYB,Easter Monday,19960408T000000,Yes,19960116T000000
REC,10,SYB,Anzac Day,19960425T000000,Yes,19960116T000000
REC,10,SYB,Queen's Birthday,19960610T000000,Yes,19960116T000000
REC,10,SYB,Bank Holiday,19960805T000000,Yes,19960116T000000
REC,10,SYB,Labour Day,19961007T000000,Yes,19960116T000000
REC,10,SYB,Christmas Day,19961225T000000,Yes,19960116T000000
REC,10,SYB,Boxing Day,19961226T000000,Yes,19960116T000000
REC,10,SYB,New Year's Day,19970101T000000,Yes,19960116T000000
REC,10,SYB,Australia Day Observed,19970127T000000,Yes,19960116T000000
REC,10,SYB,Good Friday,19970328T000000,Yes,19960116T000000
REC,10,SYB,Easter Monday,19970331T000000,Yes,19960116T000000
REC,10,SYB,Anzac Day,19970425T000000,Yes,19960116T000000
REC,10,SYB,Queen's Birthday,19970609T000000,Yes,19960116T000000
REC,10,SYB,Bank Holiday,19970804T000000,Yes,19960116T000000
REC,10,SYB,Labour Day,19971006T000000,Yes,19960116T000000
REC,10,SYB,Christmas Day,19971225T000000,Yes,19960116T000000
REC,10,SYB,Boxing Day,19971226T000000,Yes,19960116T000000
REC,10,SYB,New Year's Day,19980101T000000,Yes,19980323T000000
REC,10,SYB,Australia Day,19980126T000000,Yes,19980323T000000
REC,10,SYB,Good Friday,19980410T000000,Yes,19980323T000000
REC,10,SYB,Easter Monday,19980413T000000,Yes,19980323T000000
REC,10,SYB,Queen's Birthday,19980608T000000,Yes,19980323T000000
REC,10,SYB,Bank Holiday,19980803T000000,Yes,19980323T000000
REC,10,SYB,Labour Day,19981005T000000,Yes,19980323T000000
REC,10,SYB,Christmas Day,19981225T000000,Yes,19980323T000000
REC,10,SYB,New Year's Day,19990101T000000,Yes,19980323T000000
REC,10,SYB,Australia Day,19990126T000000,Yes,19980323T000000
REC,10,SYB,Good Friday,19990402T000000,Yes,19980323T000000
REC,10,SYB,Easter Monday,19990405T000000,Yes,19980323T000000
REC,10,SYB,Anzac Day Observed,19990426T000000,Yes,19980323T000000
