#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5073,SZB,Jersey bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5073,SZB,New Years Day,20210101T000000,Yes,20210816T000000
REC,5073,SZB,Good Friday,20210402T000000,Yes,20210803T000000
REC,5073,SZB,Easter Monday,20210405T000000,Yes,20210803T000000
REC,5073,SZB,May Day,20210503T000000,Yes,20210803T000000
REC,5073,SZB,Spring Bank Holiday,20210531T000000,Yes,20210803T000000
REC,5073,SZB,August Bank Holiday,20210830T000000,Yes,20210803T000000
REC,5073,SZB,Special Holiday,20210927T000000,Yes,20210803T000000
REC,5073,SZB,Boxing Day Observed,20211227T000000,Yes,20210803T000000
REC,5073,SZB,Christmas Day Observed,20211228T000000,Yes,20210803T000000
REC,5073,SZB,New Years Day Observed,20220103T000000,Yes,20220203T000000
REC,5073,SZB,Good Friday,20220415T000000,Yes,20220203T000000
REC,5073,SZB,Easter Monday,20220418T000000,Yes,20220203T000000
REC,5073,SZB,May Day,20220502T000000,Yes,20220203T000000
REC,5073,SZB,Liberation Day,20220509T000000,Yes,20220203T000000
REC,5073,SZB,Special Holiday,20220602T000000,Yes,20220203T000000
REC,5073,SZB,Special Holiday,20220603T000000,Yes,20220203T000000
REC,5073,SZB,August Bank Holiday,20220829T000000,Yes,20220203T000000
REC,5073,SZB,Boxing Day,20221226T000000,Yes,20220203T000000
REC,5073,SZB,Christmas Day Observed,20221227T000000,Yes,20220203T000000
REC,5073,SZB,New Years Day Observed,20230102T000000,Yes,20220203T000000
REC,5073,SZB,Good Friday,20230407T000000,Yes,20220203T000000
REC,5073,SZB,Easter Monday,20230410T000000,Yes,20220203T000000
REC,5073,SZB,May Day,20230501T000000,Yes,20220203T000000
REC,5073,SZB,Liberation Day,20230509T000000,Yes,20220203T000000
REC,5073,SZB,Spring Bank Holiday,20230529T000000,Yes,20220203T000000
REC,5073,SZB,August Bank Holiday,20230828T000000,Yes,20220203T000000
REC,5073,SZB,Christmas Day,20231225T000000,Yes,20220203T000000
REC,5073,SZB,Boxing Day,20231226T000000,Yes,20220203T000000
REC,5073,SZB,New Years Day,20240101T000000,Yes,20220203T000000
REC,5073,SZB,Good Friday,20240329T000000,Yes,20220203T000000
REC,5073,SZB,Easter Monday,20240401T000000,Yes,20220203T000000
REC,5073,SZB,May Day,20240506T000000,Yes,20220203T000000
REC,5073,SZB,Liberation Day,20240509T000000,Yes,20220203T000000
REC,5073,SZB,Spring Bank Holiday,20240527T000000,Yes,20220203T000000
REC,5073,SZB,August Bank Holiday,20240826T000000,Yes,20220203T000000
REC,5073,SZB,Christmas Day,20241225T000000,Yes,20220203T000000
REC,5073,SZB,Boxing Day,20241226T000000,Yes,20220203T000000
REC,5073,SZB,New Years Day,20250101T000000,Yes,20220203T000000
REC,5073,SZB,Good Friday,20250418T000000,Yes,20220203T000000
REC,5073,SZB,Easter Monday,20250421T000000,Yes,20220203T000000
REC,5073,SZB,May Day,20250505T000000,Yes,20220203T000000
REC,5073,SZB,Liberation Day,20250509T000000,Yes,20220203T000000
REC,5073,SZB,Spring Bank Holiday,20250526T000000,Yes,20220203T000000
REC,5073,SZB,August Bank Holiday,20250825T000000,Yes,20220203T000000
REC,5073,SZB,Christmas Day,20251225T000000,Yes,20220203T000000
REC,5073,SZB,Boxing Day,20251226T000000,Yes,20220203T000000
REC,5073,SZB,New Years Day,20260101T000000,Yes,20220203T000000
REC,5073,SZB,Good Friday,20260403T000000,Yes,20220203T000000
REC,5073,SZB,Easter Monday,20260406T000000,Yes,20220203T000000
REC,5073,SZB,May Day,20260504T000000,Yes,20220203T000000
REC,5073,SZB,Spring Bank Holiday,20260525T000000,Yes,20220203T000000
REC,5073,SZB,August Bank Holiday,20260831T000000,Yes,20220203T000000
REC,5073,SZB,Christmas Day,20261225T000000,Yes,20220203T000000
REC,5073,SZB,Boxing Day Observed,20261228T000000,Yes,20220203T000000
