#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,3,TKB,Tokyo bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,3,TKB, ,19900101T000000,Yes,20250207T000000
REC,3,TKB, ,19900102T000000,Yes,20250207T000000
REC,3,TKB, ,19900103T000000,Yes,20250207T000000
REC,3,TKB, ,19900115T000000,Yes,20250207T000000
REC,3,TKB, ,19900212T000000,Yes,20250207T000000
REC,3,TKB, ,19900321T000000,Yes,20250207T000000
REC,3,TKB, ,19900430T000000,Yes,20250207T000000
REC,3,TKB, ,19900503T000000,Yes,20250207T000000
REC,3,TKB, ,19900504T000000,Yes,20250207T000000
REC,3,TKB, ,19900505T000000,Yes,20250207T000000
REC,3,TKB, ,19900915T000000,Yes,20250207T000000
REC,3,TKB, ,19900924T000000,Yes,20250207T000000
REC,3,TKB, ,19901010T000000,Yes,20250207T000000
REC,3,TKB, ,19901103T000000,Yes,20250207T000000
REC,3,TKB, ,19901123T000000,Yes,20250207T000000
REC,3,TKB, ,19901223T000000,Yes,20250207T000000
REC,3,TKB, ,19910101T000000,Yes,20250207T000000
REC,3,TKB, ,19910102T000000,Yes,20250207T000000
REC,3,TKB, ,19910103T000000,Yes,20250207T000000
REC,3,TKB, ,19910115T000000,Yes,20250207T000000
REC,3,TKB, ,19910211T000000,Yes,20250207T000000
REC,3,TKB, ,19910321T000000,Yes,20250207T000000
REC,3,TKB, ,19910429T000000,Yes,20250207T000000
REC,3,TKB, ,19910503T000000,Yes,20250207T000000
REC,3,TKB, ,19910504T000000,Yes,20250207T000000
REC,3,TKB, ,19910506T000000,Yes,20250207T000000
REC,3,TKB, ,19910916T000000,Yes,20250207T000000
REC,3,TKB, ,19910923T000000,Yes,20250207T000000
REC,3,TKB, ,19911010T000000,Yes,20250207T000000
REC,3,TKB, ,19911104T000000,Yes,20250207T000000
REC,3,TKB, ,19911123T000000,Yes,20250207T000000
REC,3,TKB, ,19911223T000000,Yes,20250207T000000
REC,3,TKB, ,19920101T000000,Yes,20250207T000000
REC,3,TKB, ,19920102T000000,Yes,20250207T000000
REC,3,TKB, ,19920103T000000,Yes,20250207T000000
REC,3,TKB, ,19920115T000000,Yes,20250207T000000
REC,3,TKB, ,19920211T000000,Yes,20250207T000000
REC,3,TKB, ,19920320T000000,Yes,20250207T000000
REC,3,TKB, ,19920429T000000,Yes,20250207T000000
REC,3,TKB, ,19920503T000000,Yes,20250207T000000
REC,3,TKB, ,19920504T000000,Yes,20250207T000000
REC,3,TKB, ,19920505T000000,Yes,20250207T000000
REC,3,TKB, ,19920915T000000,Yes,20250207T000000
REC,3,TKB, ,19920923T000000,Yes,20250207T000000
REC,3,TKB, ,19921010T000000,Yes,20250207T000000
REC,3,TKB, ,19921103T000000,Yes,20250207T000000
REC,3,TKB, ,19921123T000000,Yes,20250207T000000
REC,3,TKB, ,19921223T000000,Yes,20250207T000000
REC,3,TKB, ,19930101T000000,Yes,20250207T000000
REC,3,TKB, ,19930102T000000,Yes,20250207T000000
REC,3,TKB, ,19930103T000000,Yes,20250207T000000
REC,3,TKB, ,19930115T000000,Yes,20250207T000000
REC,3,TKB, ,19930211T000000,Yes,20250207T000000
REC,3,TKB, ,19930321T000000,Yes,20250207T000000
REC,3,TKB, ,19930429T000000,Yes,20250207T000000
REC,3,TKB, ,19930503T000000,Yes,20250207T000000
REC,3,TKB, ,19930504T000000,Yes,20250207T000000
REC,3,TKB, ,19930505T000000,Yes,20250207T000000
REC,3,TKB, ,19930915T000000,Yes,20250207T000000
REC,3,TKB, ,19930923T000000,Yes,20250207T000000
REC,3,TKB, ,19931011T000000,Yes,20250207T000000
REC,3,TKB, ,19931103T000000,Yes,20250207T000000
REC,3,TKB, ,19931123T000000,Yes,20250207T000000
REC,3,TKB, ,19931223T000000,Yes,20250207T000000
REC,3,TKB, ,19940101T000000,Yes,20250207T000000
REC,3,TKB, ,19940102T000000,Yes,20250207T000000
REC,3,TKB, ,19940103T000000,Yes,20250207T000000
REC,3,TKB, ,19940115T000000,Yes,20250207T000000
REC,3,TKB, ,19940211T000000,Yes,20250207T000000
REC,3,TKB, ,19940321T000000,Yes,20250207T000000
REC,3,TKB, ,19940429T000000,Yes,20250207T000000
REC,3,TKB, ,19940503T000000,Yes,20250207T000000
REC,3,TKB, ,19940504T000000,Yes,20250207T000000
REC,3,TKB, ,19940505T000000,Yes,20250207T000000
REC,3,TKB, ,19940915T000000,Yes,20250207T000000
REC,3,TKB, ,19940923T000000,Yes,20250207T000000
REC,3,TKB, ,19941010T000000,Yes,20250207T000000
REC,3,TKB, ,19941103T000000,Yes,20250207T000000
REC,3,TKB, ,19941123T000000,Yes,20250207T000000
REC,3,TKB, ,19941223T000000,Yes,20250207T000000
REC,3,TKB, ,19950101T000000,Yes,20250207T000000
REC,3,TKB, ,19950102T000000,Yes,20250207T000000
REC,3,TKB, ,19950103T000000,Yes,20250207T000000
REC,3,TKB, ,19950116T000000,Yes,20250207T000000
REC,3,TKB, ,19950211T000000,Yes,20250207T000000
REC,3,TKB, ,19950321T000000,Yes,20250207T000000
REC,3,TKB, ,19950429T000000,Yes,20250207T000000
REC,3,TKB, ,19950503T000000,Yes,20250207T000000
REC,3,TKB, ,19950504T000000,Yes,20250207T000000
REC,3,TKB, ,19950505T000000,Yes,20250207T000000
REC,3,TKB, ,19950915T000000,Yes,20250207T000000
REC,3,TKB, ,19950923T000000,Yes,20250207T000000
REC,3,TKB, ,19951010T000000,Yes,20250207T000000
REC,3,TKB, ,19951103T000000,Yes,20250207T000000
REC,3,TKB, ,19951123T000000,Yes,20250207T000000
REC,3,TKB, ,19951223T000000,Yes,20250207T000000
REC,3,TKB,New Year's Day,19960101T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19960102T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19960103T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,19960115T000000,Yes,20250207T000000
REC,3,TKB,National Foundation Day Observed,19960212T000000,Yes,20250207T000000
REC,3,TKB,Vernal Equinox Day,19960320T000000,Yes,20250207T000000
REC,3,TKB,delete,19960321T000000,No,20250207T000000
REC,3,TKB,Greenery Day,19960429T000000,Yes,20250207T000000
REC,3,TKB,Constitution Memorial Day,19960503T000000,Yes,20250207T000000
REC,3,TKB,delete,19960504T000000,No,20250207T000000
REC,3,TKB,Children's Day Observed,19960506T000000,Yes,20250207T000000
REC,3,TKB,Respect For The Aged Day Observe,19960916T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day,19960923T000000,Yes,20250207T000000
REC,3,TKB,Sports Day,19961010T000000,Yes,20250207T000000
REC,3,TKB,Culture Day Observed,19961104T000000,Yes,20250207T000000
REC,3,TKB,delete,19961123T000000,No,20250207T000000
REC,3,TKB,Emperor's Birthday,19961223T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19961231T000000,Yes,20250207T000000
REC,3,TKB,New Year's Day,19970101T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19970102T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19970103T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,19970115T000000,Yes,20250207T000000
REC,3,TKB,National Foundation Day,19970211T000000,Yes,20250207T000000
REC,3,TKB,Vernal Equinox Day,19970320T000000,Yes,20250207T000000
REC,3,TKB,delete,19970321T000000,No,20250207T000000
REC,3,TKB,Greenery Day,19970429T000000,Yes,20250207T000000
REC,3,TKB,delete,19970503T000000,No,20250207T000000
REC,3,TKB,delete,19970504T000000,No,20250207T000000
REC,3,TKB,Children's Day,19970505T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day Observed,19970721T000000,Yes,20250207T000000
REC,3,TKB,Respect For The Aged Day,19970915T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day,19970923T000000,Yes,20250207T000000
REC,3,TKB,Sports Day,19971010T000000,Yes,20250207T000000
REC,3,TKB,Culture Day,19971103T000000,Yes,20250207T000000
REC,3,TKB,Labour Thanksgiving Day Observed,19971124T000000,Yes,20250207T000000
REC,3,TKB,Emperor's Birthday,19971223T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19971231T000000,Yes,20250207T000000
REC,3,TKB,New Year's Day,19980101T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19980102T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,19980115T000000,Yes,20250207T000000
REC,3,TKB,National Foundation Day,19980211T000000,Yes,20250207T000000
REC,3,TKB,Greenery Day,19980429T000000,Yes,20250207T000000
REC,3,TKB,Constitution Memorial Day Observ,19980504T000000,Yes,20250207T000000
REC,3,TKB,Children's Day,19980505T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day,19980720T000000,Yes,20250207T000000
REC,3,TKB,Respect for the Aged Day,19980915T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day,19980923T000000,Yes,20250207T000000
REC,3,TKB,Culture Day,19981103T000000,Yes,20250207T000000
REC,3,TKB,Labour Thanksgiving Day,19981123T000000,Yes,20250207T000000
REC,3,TKB,Emperor's Birthday,19981223T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19981231T000000,Yes,20250207T000000
REC,3,TKB,New Year's Day,19990101T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,19990115T000000,Yes,20250207T000000
REC,3,TKB,National Foundation Day,19990211T000000,Yes,20250207T000000
REC,3,TKB,Vernal Equinox Day Observed,19990322T000000,Yes,20250207T000000
REC,3,TKB,Greenery Day,19990429T000000,Yes,20250207T000000
REC,3,TKB,Constitution Memorial Day,19990503T000000,Yes,20250207T000000
REC,3,TKB,National Holiday,19990504T000000,Yes,20250207T000000
REC,3,TKB,Children's Day,19990505T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day,19990720T000000,Yes,20250207T000000
REC,3,TKB,Respect for the Aged Day,19990915T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day,19990923T000000,Yes,20250207T000000
REC,3,TKB,Sports Day Observed,19991011T000000,Yes,20250207T000000
REC,3,TKB,Culture Day,19991103T000000,Yes,20250207T000000
REC,3,TKB,Labour Thanksgiving Day,19991123T000000,Yes,20250207T000000
REC,3,TKB,Emperor's Birthday,19991223T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,19991231T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20000103T000000,Yes,20250207T000000
REC,3,TKB,National Foundation Day,20000211T000000,Yes,20250207T000000
REC,3,TKB,Vernal Equinox Day,20000320T000000,Yes,20250207T000000
REC,3,TKB,Constitution Memorial Day,20000503T000000,Yes,20250207T000000
REC,3,TKB,National Holiday,20000504T000000,Yes,20250207T000000
REC,3,TKB,Children's Day,20000505T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day,20000720T000000,Yes,20250207T000000
REC,3,TKB,Respect for the Aged Day,20000915T000000,Yes,20250207T000000
REC,3,TKB,Sports Day,20001010T000000,Yes,20250207T000000
REC,3,TKB,Culture Day,20001103T000000,Yes,20250207T000000
REC,3,TKB,Labour Thanksgiving Day,20001123T000000,Yes,20250207T000000
REC,3,TKB,New Year's Day,20010101T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20010102T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20010103T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20010115T000000,Yes,20250207T000000
REC,3,TKB,National Foundation Day Observed,20010212T000000,Yes,20250207T000000
REC,3,TKB,Vernal Equinox Day,20010320T000000,Yes,20250207T000000
REC,3,TKB,Greenery Day Observed,20010430T000000,Yes,20250207T000000
REC,3,TKB,Constitution Memorial Day,20010503T000000,Yes,20250207T000000
REC,3,TKB,National Holiday,20010504T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day,20010720T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day Observed,20010924T000000,Yes,20250207T000000
REC,3,TKB,Sports Day,20011008T000000,Yes,20250207T000000
REC,3,TKB,Sports Day,20011010T000000,No,20250207T000000
REC,3,TKB,Labour Thanksgiving Day,20011123T000000,Yes,20250207T000000
REC,3,TKB,Emperor's Birthday Observed,20011224T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20011231T000000,Yes,20250207T000000
REC,3,TKB,New Year's Day,20020101T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20020102T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20020103T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20020114T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20020115T000000,No,20250207T000000
REC,3,TKB,National Foundation Day,20020211T000000,Yes,20250207T000000
REC,3,TKB,Vernal Equinox Day,20020321T000000,Yes,20250207T000000
REC,3,TKB,Greenery Day,20020429T000000,Yes,20250207T000000
REC,3,TKB,Constitution Memorial Day,20020503T000000,Yes,20250207T000000
REC,3,TKB,Children's Day Observed,20020506T000000,Yes,20250207T000000
REC,3,TKB,Respect for the Aged Day Observe,20020916T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day,20020923T000000,Yes,20250207T000000
REC,3,TKB,Sports Day,20021010T000000,No,20250207T000000
REC,3,TKB,Sports Day,20021014T000000,Yes,20250207T000000
REC,3,TKB,Culture Day Observed,20021104T000000,Yes,20250207T000000
REC,3,TKB,Emperor's Birthday,20021223T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20021231T000000,Yes,20250207T000000
REC,3,TKB,New Year's Day,20030101T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20030102T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20030103T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20030113T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20030115T000000,No,20250207T000000
REC,3,TKB,National Foundation Day,20030211T000000,Yes,20250207T000000
REC,3,TKB,Vernal Equinox Day,20030321T000000,Yes,20250207T000000
REC,3,TKB,Greenery Day,20030429T000000,Yes,20250207T000000
REC,3,TKB,Children's Day,20030505T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day Observed,20030721T000000,Yes,20250207T000000
REC,3,TKB,Respect for the Aged Day,20030915T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day,20030923T000000,Yes,20250207T000000
REC,3,TKB,Sports Day,20031010T000000,No,20250207T000000
REC,3,TKB,Sports Day,20031013T000000,Yes,20250207T000000
REC,3,TKB,Culture Day,20031103T000000,Yes,20250207T000000
REC,3,TKB,Labour Thanksgiving Day Observed,20031124T000000,Yes,20250207T000000
REC,3,TKB,Emperor's Birthday,20031223T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20031231T000000,Yes,20250207T000000
REC,3,TKB,New Year's Day,20040101T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20040102T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20040112T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20040115T000000,No,20250207T000000
REC,3,TKB,National Foundation Day,20040211T000000,Yes,20250207T000000
REC,3,TKB,Greenery Day,20040429T000000,Yes,20250207T000000
REC,3,TKB,Constitution Memorial Day,20040503T000000,Yes,20250207T000000
REC,3,TKB,National Holiday,20040504T000000,Yes,20250207T000000
REC,3,TKB,Children's Day,20040505T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day,20040719T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day,20040720T000000,No,20250207T000000
REC,3,TKB,Respect for the Aged Day,20040915T000000,No,20250207T000000
REC,3,TKB,Respect for the Aged,20040920T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day,20040923T000000,Yes,20250207T000000
REC,3,TKB,Sports Day Observed,20041011T000000,Yes,20250207T000000
REC,3,TKB,Culture Day,20041103T000000,Yes,20250207T000000
REC,3,TKB,Labour Thanksgiving Day,20041123T000000,Yes,20250207T000000
REC,3,TKB,Emperor's Birthday,20041223T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20041231T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20050103T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20050110T000000,Yes,20250207T000000
REC,3,TKB,National Foundation Day,20050211T000000,Yes,20250207T000000
REC,3,TKB,Vernal Equinox Day Observed,20050321T000000,Yes,20250207T000000
REC,3,TKB,Greenery Day,20050429T000000,Yes,20250207T000000
REC,3,TKB,Constitution Memorial Day,20050503T000000,Yes,20250207T000000
REC,3,TKB,National Holiday,20050504T000000,Yes,20250207T000000
REC,3,TKB,Children's Day,20050505T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day,20050718T000000,Yes,20250207T000000
REC,3,TKB,Ocean Day,20050720T000000,No,20250207T000000
REC,3,TKB,Respect for the Aged Day,20050915T000000,No,20250207T000000
REC,3,TKB,Respect for the Aged Day,20050919T000000,Yes,20250207T000000
REC,3,TKB,Autumnal Equinox Day,20050923T000000,Yes,20250207T000000
REC,3,TKB,Sports Day,20051010T000000,Yes,20250207T000000
REC,3,TKB,Culture Day,20051103T000000,Yes,20250207T000000
REC,3,TKB,Labour Thanksgiving Day,20051123T000000,Yes,20250207T000000
REC,3,TKB,Emperor's Birthday,20051223T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20060102T000000,Yes,20250207T000000
REC,3,TKB,Bank Holiday,20060103T000000,Yes,20250207T000000
REC,3,TKB,Adults Day,20060109T000000,Yes,20250207T000000
REC,3,TKB,Adults Day Observed,20060116T000000,No,20250207T000000
