#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,11,TRB,Toronto bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,11,TRB,New Year's Day,19910101T000000,Yes,20220202T000000
REC,11,TRB,Good Friday,19910329T000000,Yes,20220202T000000
REC,11,TRB,Victoria Day,19910520T000000,Yes,20220202T000000
REC,11,TRB,Canada Day,19910701T000000,Yes,20220202T000000
REC,11,TRB,Civic Holiday,19910805T000000,Yes,20220202T000000
REC,11,TRB,Labour Day,19910902T000000,Yes,20220202T000000
REC,11,TRB,Thanksgiving Day,19911014T000000,Yes,20220202T000000
REC,11,TRB,Remembrance Day,19911111T000000,Yes,20220202T000000
REC,11,TRB,Christmas Day,19911225T000000,Yes,20220202T000000
REC,11,TRB,Boxing Day,19911226T000000,Yes,20220202T000000
REC,11,TRB,New Year's Day,19920101T000000,Yes,20220202T000000
REC,11,TRB,Good Friday,19920417T000000,Yes,20220202T000000
REC,11,TRB, ,19920420T000000,No,20220202T000000
REC,11,TRB,Victoria Day,19920518T000000,Yes,20220202T000000
REC,11,TRB,Canada Day,19920701T000000,Yes,20220202T000000
REC,11,TRB,Civic Holiday,19920803T000000,Yes,20220202T000000
REC,11,TRB,Labour Day,19920907T000000,Yes,20220202T000000
REC,11,TRB,Thanksgiving Day,19921012T000000,Yes,20220202T000000
REC,11,TRB,Remembrance Day,19921111T000000,Yes,20220202T000000
REC,11,TRB,Christmas Day,19921225T000000,Yes,20220202T000000
REC,11,TRB, ,19921226T000000,No,20220202T000000
REC,11,TRB,Boxing Day Observed,19921228T000000,Yes,20220202T000000
REC,11,TRB,New Year's Day,19930101T000000,Yes,20220202T000000
REC,11,TRB,Good Friday,19930409T000000,Yes,20220202T000000
REC,11,TRB,Victoria Day,19930524T000000,Yes,20220202T000000
REC,11,TRB,Canada Day,19930701T000000,No,20220202T000000
REC,11,TRB,Civic Holiday,19930802T000000,Yes,20220202T000000
REC,11,TRB,Labour Day,19930906T000000,Yes,20220202T000000
REC,11,TRB,Thanksgiving Day,19931011T000000,Yes,20220202T000000
REC,11,TRB,Christmas Day Observed,19931227T000000,Yes,20220202T000000
REC,11,TRB,Boxing Day Observed,19931228T000000,Yes,20220202T000000
