#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5016,WEB,Wellington bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5016,WEB,New Year''s Day,20090101T000000,Yes,20200130T000000
REC,5016,WEB,Public Holiday,20090102T000000,Yes,20200130T000000
REC,5016,WEB,Wellington Anniversary Day,20090119T000000,Yes,20200130T000000
REC,5016,WEB,Waitangi Day,20090206T000000,Yes,20200130T000000
REC,5016,WEB,Good Friday,20090410T000000,Yes,20200130T000000
REC,5016,WEB,Easter Monday,20090413T000000,Yes,20200130T000000
REC,5016,WEB,Queen''s Birthday,20090601T000000,Yes,20200130T000000
REC,5016,WEB,Labour Day,20091026T000000,Yes,20200130T000000
REC,5016,WEB,Christmas Day,20091225T000000,Yes,20200130T000000
REC,5016,WEB,Boxing Day Observed,20091228T000000,Yes,20200130T000000
REC,5016,WEB,New Years Day,20100101T000000,Yes,20200130T000000
REC,5016,WEB,Public Holiday Observed,20100104T000000,Yes,20200130T000000
REC,5016,WEB,Wellington Anniversary Day,20100125T000000,Yes,20200130T000000
REC,5016,WEB,Good Friday,20100402T000000,Yes,20200130T000000
REC,5016,WEB,Easter Monday,20100405T000000,Yes,20200130T000000
REC,5016,WEB,Queens Birthday,20100607T000000,Yes,20200130T000000
REC,5016,WEB,Labour Day,20101025T000000,Yes,20200130T000000
REC,5016,WEB,Christmas Day Observed,20101227T000000,Yes,20200130T000000
REC,5016,WEB,Boxing Day Observed,20101228T000000,Yes,20200130T000000
REC,5016,WEB,New Years Day Observed,20110103T000000,Yes,20200130T000000
REC,5016,WEB,Public Holiday Observed,20110104T000000,Yes,20200130T000000
REC,5016,WEB,Wellington Anniversary Day,20110124T000000,Yes,20200130T000000
REC,5016,WEB,Good Friday,20110422T000000,Yes,20200130T000000
REC,5016,WEB,Anzac Day,20110425T000000,Yes,20200130T000000
REC,5016,WEB,Queens Birthday,20110606T000000,Yes,20200130T000000
REC,5016,WEB,Labour Day,20111024T000000,Yes,20200130T000000
REC,5016,WEB,Christmas Day Observed,20111226T000000,Yes,20200130T000000
REC,5016,WEB,Boxing Day Observed,20111227T000000,Yes,20200130T000000
REC,5016,WEB,New Years Day Observed,20120102T000000,Yes,20200130T000000
REC,5016,WEB,Public Holiday Observed,20120103T000000,Yes,20200130T000000
REC,5016,WEB,Wellington Anniversary Day,20120123T000000,Yes,20200130T000000
REC,5016,WEB,Waitangi Day,20120206T000000,Yes,20200130T000000
REC,5016,WEB,Good Friday,20120406T000000,Yes,20200130T000000
REC,5016,WEB,Easter Monday,20120409T000000,Yes,20200130T000000
REC,5016,WEB,Anzac Day,20120425T000000,Yes,20200130T000000
REC,5016,WEB,Queens Birthday,20120604T000000,Yes,20200130T000000
REC,5016,WEB,Labour Day,20121022T000000,Yes,20200130T000000
REC,5016,WEB,Christmas Day,20121225T000000,Yes,20200130T000000
REC,5016,WEB,Boxing Day,20121226T000000,Yes,20200130T000000
REC,5016,WEB,New Years Day,20130101T000000,Yes,20200130T000000
REC,5016,WEB,Public Holiday,20130102T000000,Yes,20200130T000000
REC,5016,WEB,Wellington Anniversary Day,20130121T000000,Yes,20200130T000000
REC,5016,WEB,Waitangi Day,20130206T000000,Yes,20200130T000000
REC,5016,WEB,Good Friday,20130329T000000,Yes,20200130T000000
REC,5016,WEB,Easter Monday,20130401T000000,Yes,20200130T000000
REC,5016,WEB,Anzac Day,20130425T000000,Yes,20200130T000000
REC,5016,WEB,Queens Birthday,20130603T000000,Yes,20200130T000000
REC,5016,WEB,Labour Day,20131028T000000,Yes,20200130T000000
REC,5016,WEB,Christmas Day,20131225T000000,Yes,20200130T000000
REC,5016,WEB,Boxing Day,20131226T000000,Yes,20200130T000000
REC,5016,WEB,New Years Day,20140101T000000,Yes,20200130T000000
REC,5016,WEB,Public Holiday,20140102T000000,Yes,20200130T000000
REC,5016,WEB,Wellington Anniversary Day,20140120T000000,Yes,20200130T000000
REC,5016,WEB,Waitangi Day,20140206T000000,Yes,20200130T000000
REC,5016,WEB,Good Friday,20140418T000000,Yes,20200130T000000
REC,5016,WEB,Easter Monday,20140421T000000,Yes,20200130T000000
REC,5016,WEB,Anzac Day,20140425T000000,Yes,20200130T000000
REC,5016,WEB,Queens Birthday,20140602T000000,Yes,20200130T000000
REC,5016,WEB,Labour Day,20141027T000000,Yes,20200130T000000
REC,5016,WEB,Christmas Day,20141225T000000,Yes,20200130T000000
REC,5016,WEB,Boxing Day,20141226T000000,Yes,20200130T000000
REC,5016,WEB,New Years Day,20150101T000000,Yes,20200130T000000
REC,5016,WEB,Public Holiday,20150102T000000,Yes,20200130T000000
REC,5016,WEB,Wellington Anniversary Day,20150119T000000,Yes,20200130T000000
REC,5016,WEB,Waitangi Day,20150206T000000,Yes,20200130T000000
REC,5016,WEB,Good Friday,20150403T000000,Yes,20200130T000000
REC,5016,WEB,Easter Monday,20150406T000000,Yes,20200130T000000
REC,5016,WEB,Anzac Day Observed,20150427T000000,Yes,20200130T000000
REC,5016,WEB,Queens Birthday,20150601T000000,Yes,20200130T000000
REC,5016,WEB,Labour Day,20151026T000000,Yes,20200130T000000
REC,5016,WEB,Christmas Day,20151225T000000,Yes,20200130T000000
REC,5016,WEB,Boxing Day Observed,20151228T000000,Yes,20200130T000000
REC,5016,WEB,New Years Day,20160101T000000,Yes,20200130T000000
REC,5016,WEB,Public Holiday Observed,20160104T000000,Yes,20200130T000000
REC,5016,WEB,Wellington Anniversary Day,20160125T000000,Yes,20200130T000000
REC,5016,WEB,Waitangi Day Observed,20160208T000000,Yes,20200130T000000
REC,5016,WEB,Good Friday,20160325T000000,Yes,20200130T000000
REC,5016,WEB,Easter Monday,20160328T000000,Yes,20200130T000000
