#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,12,ZUB,Zurich bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,12,ZUB, ,19910101T000000,Yes,20200130T000000
REC,12,ZUB, ,19910311T000000,Yes,20200130T000000
REC,12,ZUB, ,19910329T000000,Yes,20200130T000000
REC,12,ZUB, ,19910401T000000,Yes,20200130T000000
REC,12,ZUB, ,19910415T000000,Yes,20200130T000000
REC,12,ZUB, ,19910501T000000,Yes,20200130T000000
REC,12,ZUB, ,19910509T000000,Yes,20200130T000000
REC,12,ZUB, ,19910520T000000,Yes,20200130T000000
REC,12,ZUB, ,19910801T000000,Yes,20200130T000000
REC,12,ZUB, ,19911225T000000,Yes,20200130T000000
REC,12,ZUB, ,19911226T000000,Yes,20200130T000000
REC,12,ZUB, ,19920101T000000,Yes,20200130T000000
REC,12,ZUB, ,19920102T000000,Yes,20200130T000000
REC,12,ZUB, ,19920417T000000,Yes,20200130T000000
REC,12,ZUB, ,19920420T000000,Yes,20200130T000000
REC,12,ZUB, ,19920501T000000,Yes,20200130T000000
REC,12,ZUB, ,19920528T000000,Yes,20200130T000000
REC,12,ZUB, ,19920608T000000,Yes,20200130T000000
REC,12,ZUB, ,19920801T000000,Yes,20200130T000000
REC,12,ZUB, ,19921225T000000,Yes,20200130T000000
REC,12,ZUB, ,19921226T000000,Yes,20200130T000000
REC,12,ZUB, ,19930101T000000,Yes,20200130T000000
REC,12,ZUB, ,19930102T000000,Yes,20200130T000000
REC,12,ZUB, ,19930409T000000,Yes,20200130T000000
REC,12,ZUB, ,19930412T000000,Yes,20200130T000000
REC,12,ZUB, ,19930501T000000,Yes,20200130T000000
REC,12,ZUB, ,19930520T000000,Yes,20200130T000000
REC,12,ZUB, ,19930531T000000,Yes,20200130T000000
REC,12,ZUB, ,19930801T000000,Yes,20200130T000000
REC,12,ZUB, ,19931225T000000,Yes,20200130T000000
REC,12,ZUB, ,19931226T000000,Yes,20200130T000000
REC,12,ZUB, ,19940101T000000,Yes,20200130T000000
REC,12,ZUB, ,19940102T000000,Yes,20200130T000000
REC,12,ZUB, ,19940401T000000,Yes,20200130T000000
REC,12,ZUB, ,19940404T000000,Yes,20200130T000000
REC,12,ZUB, ,19940501T000000,Yes,20200130T000000
REC,12,ZUB, ,19940512T000000,Yes,20200130T000000
REC,12,ZUB, ,19940523T000000,Yes,20200130T000000
REC,12,ZUB, ,19940801T000000,Yes,20200130T000000
REC,12,ZUB, ,19941225T000000,Yes,20200130T000000
REC,12,ZUB, ,19941226T000000,Yes,20200130T000000
REC,12,ZUB, ,19950101T000000,Yes,20200130T000000
REC,12,ZUB, ,19950102T000000,Yes,20200130T000000
REC,12,ZUB, ,19950414T000000,Yes,20200130T000000
REC,12,ZUB, ,19950417T000000,Yes,20200130T000000
REC,12,ZUB, ,19950501T000000,Yes,20200130T000000
REC,12,ZUB, ,19950525T000000,Yes,20200130T000000
REC,12,ZUB, ,19950605T000000,Yes,20200130T000000
REC,12,ZUB, ,19950801T000000,Yes,20200130T000000
