AONIA.ASIA.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.99976224832
9	0.998931383721
34	0.995970465965
62	0.992722756064
92	0.989339623153
122	0.986102166743
153	0.982827590402
183	0.979757282282
275	0.97062526134
367	0.961943441902
548	0.945292865551
734	0.928508897488
1099	0.896337156845
1463	0.863663241378
1828	0.830503416161
2193	0.796679703612
2558	0.762722442415
2926	0.729226730959
3290	0.696899675266
3654	0.665847572905
4385	0.606889339128
5481	0.52892713723
7308	0.427155922174
9135	0.358118358441
10961	0.307963400719

AONIA.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.99976224832
9	0.998931383721
34	0.995970465965
62	0.992722756064
92	0.989339623153
122	0.986102166743
153	0.982827590402
183	0.979757282282
275	0.97062526134
367	0.961943441902
548	0.945357666108
734	0.928399313528
1099	0.896343784866
1463	0.86366696117
1828	0.830507048265
2193	0.796683266982
2558	0.76272593949
2926	0.729230151635
3290	0.696903013645
3654	0.665850820321
4385	0.606892393039
5481	0.52892988164
7308	0.427158157059
9135	0.358120137661
10961	0.307964815925

BBSW6M.ASIA.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
181	0.978167753996
365	0.958855649335
546	0.940733504813
730	0.922808365489
1095	0.88826353969
1459	0.853501340826
1826	0.818423572083
2191	0.78313835464
2556	0.74801587633
2922	0.713632424571
3286	0.680409703477
3650	0.64854466441
4383	0.588084161033
5477	0.508304218982
7304	0.403213101151
9131	0.330213467732
10957	0.275608566127

BBSW3M.ASIA.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
90	0.989218869418
163	0.98137221231
254	0.971997780612
345	0.963013827381
436	0.954294411707
527	0.945706372068
618	0.93716753359
730	0.926600219514
1095	0.893284433968
1459	0.85949770667
1826	0.825089138995
2191	0.79016808112
2556	0.755287066016
2922	0.72100089273
3286	0.687729642551
3650	0.655846708079
4383	0.595304765701
5477	0.515610857541
7304	0.411409055397
9131	0.339572741478
10957	0.286104896591

BBSW6M.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
181	0.978167753996
365	0.95880418923
546	0.940769988352
730	0.922688629519
1095	0.888242536279
1459	0.853583260323
1826	0.818424753346
2191	0.783139518461
2556	0.748017024647
2922	0.71363355408
3286	0.680410811369
3650	0.648545746639
4383	0.588085185881
5477	0.508305146323
7304	0.403213853816
9131	0.330214052279
10957	0.275609017629

BBSW3M.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
90	0.989218869418
163	0.981372209752
254	0.971997770201
345	0.963013801718
436	0.954294361413
527	0.945706285908
618	0.937167398604
730	0.926326009787
1095	0.891957071378
1459	0.859629934644
1826	0.825144223603
2191	0.790255672152
2556	0.755403383296
2922	0.721137417309
3286	0.687761061074
3650	0.655876699948
4383	0.595332037963
5477	0.515634524191
7304	0.411427955209
9131	0.339755896998
10957	0.286276920839

BF_USDCNH_ASIA.CNY|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999946677843
9	0.998977334062
16	0.998169312611
35	0.996349929325
62	0.99404280909
92	0.991701547217
183	0.98657157761
282	0.981948810853
370	0.978217653203
734	0.959709686851
1099	0.939827738606
1463	0.920131601589
1828	0.900752030006

BF_USDVND_ASIA.VND|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
1	0.999886131358
8	0.998827371625
34	0.995074744614
91	0.98709601006
182	0.97560721052
274	0.964156705269
366	0.953026911112

NZIONA.ASIA.NZD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.99965080691
6	0.999301735756
38	0.995585610179
65	0.99267076305
97	0.989455870478
126	0.986759882477
157	0.98394511298
188	0.981222340462
279	0.973569786185
371	0.966173576176
736	0.937918565343
1101	0.908730260812
1469	0.877914588509
1833	0.846020855303
2197	0.813035981499
2562	0.779767829017
2928	0.746933295913
3293	0.715196083879
3660	0.684086307496
4389	0.625661546135
5484	0.544129124264
7311	0.429107175776

BKBMFRA3M.ASIA.NZD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.99965080691
6	0.999301735756
38	0.995487790205
65	0.992395883905
97	0.989031658115
162	0.982809872145
253	0.974589761816
371	0.964515275222
736	0.93466741558
1101	0.904103520856
1469	0.872089146632
1833	0.839277193054
2197	0.805565866198
2562	0.771455682762
2928	0.737895037826
3293	0.705366262025
3660	0.673742464019
4389	0.614366926814
5484	0.532907206335
7311	0.416354084935

NZIONA.NZD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.99965080691
6	0.999301735756
38	0.995585262341
65	0.99267076305
97	0.989458923684
126	0.986762285052
157	0.983945513781
188	0.981225222961
279	0.973575106912
371	0.966173576176
736	0.937918565343
1101	0.908682572785
1469	0.877917893468
1833	0.846022303569
2197	0.813037424735
2562	0.779769262411
2928	0.746934712254
3293	0.715197476148
3660	0.684087671767
4389	0.625635766597
5484	0.54410678466
7311	0.429114012648

BKBMFRA3M.NZD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.99965080691
6	0.999301735756
38	0.995487790205
65	0.992395883905
97	0.989031658115
162	0.982809872145
253	0.974589761816
371	0.964575483821
736	0.934666261219
1101	0.904102606968
1469	0.872088046939
1833	0.839276185926
2197	0.805564946339
2562	0.771454848853
2928	0.737894281369
3293	0.705365574221
3660	0.673741837636
4389	0.614366348323
5484	0.532906352121
7311	0.416353289677

SORA.ASIA.SGD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999873358506
3	0.999810041769
34	0.997353968815
62	0.995197166573
93	0.992924180585
184	0.986383204421
276	0.980025052527
370	0.973820480286
549	0.961827685638
734	0.949500665416
1098	0.925125746871
1464	0.900110981833
1829	0.875664422919
2194	0.851019669558
2561	0.82755970325
2926	0.804480634832
3290	0.781677865789
3655	0.759463263135
4388	0.716545919736
5481	0.660299515686
7308	0.588969804848
10961	0.453210508601

SOFR.ASIA.USD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999752283601
3	0.999628440744
10	0.998782035393
17	0.997945779417
24	0.997106890366
34	0.995916043353
62	0.992603088351
93	0.988989876641
125	0.985333388171
154	0.982070185221
184	0.978739771452
216	0.975246426735
246	0.972016974218
276	0.968812180341
307	0.96552473395
337	0.962377790537
370	0.958936566864
552	0.94026819709
734	0.921957523369
1098	0.886344155491
1464	0.852091347524
1829	0.819227507666
2194	0.787170524973
2561	0.756130580881
2925	0.726475634619
3290	0.697721360929
3655	0.669803670654
4388	0.616183005365
5481	0.543776880776
7308	0.446010462622
9134	0.375213058494
10961	0.321958931817
14615	0.250832165764
18265	0.208216159005

CCSDF.ASIA.SGD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999873358506
3	0.999810041769
184	0.986540064335
370	0.974718734802
549	0.96336256718
734	0.952102811245
1098	0.931528604117
1464	0.909150343436
1829	0.889402744638
2194	0.867291678479
2561	0.848542949619
3655	0.792034886902
4388	0.758490719222
5481	0.714685725731
7308	0.679226729384
10961	0.572111097484

SOFR.USD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999757281149
3	0.999635936453
10	0.998795491664
17	0.997957621224
24	0.997119994973
34	0.995928381419
62	0.992611500589
93	0.988999249525
125	0.985338308101
154	0.982071478934
184	0.978727356744
216	0.975212645934
246	0.971959510876
276	0.968744686615
307	0.965424095511
337	0.962256083187
370	0.958796546212
552	0.939992507352
734	0.921775891002
1098	0.885897751836
1464	0.851285706573
1829	0.817905930056
2194	0.785478968255
2561	0.754059109495
2925	0.723990439127
3290	0.69488996259
3655	0.666725452088
4388	0.612670615538
5481	0.539860869852
7308	0.441975883616
9134	0.370974684644
10961	0.317781453396
14615	0.246863544177
18265	0.204752142176

CORRA.CAD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999818663026
9	0.999185947003
16	0.99855362963
34	0.996957477009
62	0.994581171329
92	0.992124937993
122	0.989747641816
153	0.987352272086
183	0.985114546422
275	0.978435006176
367	0.971948052617
734	0.946923611981
1099	0.922616615663
1463	0.898602656262
1828	0.874142308915
2193	0.848495685406
2558	0.822409093232
2926	0.795974285211
3290	0.770046047541
3654	0.744581852964
4385	0.694345433727
5481	0.625419306202
7308	0.530122161529
9135	0.463413325477
10961	0.412329703208

CCSDF.CAD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999818663026
3	0.999728002761
370	0.972964829731
734	0.948884435266
1099	0.924925633602
1464	0.900814017914
1829	0.876035295468
2194	0.849644550286
2561	0.822662848624
2926	0.795651816064
3290	0.768955233736
3655	0.742956281994
4388	0.692217861632
5481	0.623957505378
7308	0.531639656302
9135	0.469852589895
10961	0.425845108806

CMETERMSOFR6M.ASIA.USD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999752283601
3	0.999628440744
184	0.978655944439
370	0.958938327075
552	0.940269923034
734	0.921959215702
1098	0.886345782452
1464	0.852092911611
1829	0.819229011428
2194	0.787171969893
2561	0.756131968824
2925	0.726476968128
3290	0.697722641657
3655	0.669804900137
4388	0.616184136422
5481	0.543777878926
7308	0.446011281313
9134	0.37521374723
10961	0.321959522801
14615	0.250832626188
18265	0.208216541204

CME_SOFR.USD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999757281149
3	0.999635936453
10	0.998792765311
17	0.997952410142
24	0.997118370445
34	0.995926245363
62	0.992611904426
93	0.988997537195
125	0.985336004097
154	0.982067836768
184	0.978729043012
216	0.975225311426
246	0.971982795087
276	0.96875999334
307	0.965456771466
337	0.962289600035
370	0.958831235235
552	0.940055924297
734	0.921669063767
1098	0.88573891139
1464	0.851042699681
1829	0.817550700725
2194	0.785030940022
2561	0.753419459498
2925	0.723322220493
3290	0.694200098368
3655	0.666003648711
4388	0.6120984784
5481	0.53941455168
7308	0.441669284128
9134	0.371163577597
10961	0.318114721267
14615	0.247598237582
18265	0.204532578432

CMT.ASIA.CNY|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999879466585
3	0.99981920351
35	0.998131903976
92	0.997613074716
183	0.995128033046
367	0.989794373575
732	0.977689926888
1097	0.963874644851
1463	0.948501523626
1828	0.931547714009
2558	0.894012096249
2924	0.875017688886
3289	0.857130700852
3654	0.840192308994
5480	0.745072511478
7307	0.665701958395
9133	0.600362026142
10959	0.55178009275

CMT.ASIA.SGD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999873358506
3	0.999810041769
34	0.996870402492
92	0.992659487163
183	0.985578863704
367	0.971851277955
732	0.946547706453
1097	0.92073699603
1463	0.895482928253
1828	0.868808537657
2558	0.816561705063
2924	0.793050693518
3289	0.772363989637
3654	0.751212903571
5480	0.647022235855
7307	0.57155973035
9133	0.50006685378
10959	0.435652167413

CMT.CAD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999818663026
3	0.999728002761
34	0.997001408771
93	0.992022839065
184	0.984640345262
368	0.970044163806
733	0.9437232758
1098	0.917346901626
1464	0.890937598685
1829	0.863850794017
2559	0.807034353943
2925	0.778680705482
3290	0.751104154671
3655	0.724685104168
5481	0.606710224938
7308	0.512325756117
9134	0.43770856199
10960	0.376744161473

CMT.CNY|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999879466585
3	0.99981920351
35	0.998049708785
92	0.997613074716
183	0.995128033046
367	0.989794373575
732	0.977689926888
1097	0.963874644851
1463	0.948501523626
1828	0.931547714009
2558	0.894012096249
2924	0.875017688886
3289	0.857130700852
3654	0.840192308994
5480	0.745072511478
7307	0.665701958395
9133	0.600362026142
10959	0.55178009275

CMT.JPY|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
6	0.99995989202
7	0.999953180005
38	0.999740906251
97	0.999478900432
188	0.99863769621
372	0.995764934481
737	0.988109250317
1102	0.982009661217
1468	0.973315806398
1833	0.963650850744
2198	0.954233979576
2563	0.942372234883
2929	0.928147549908
3294	0.912978577322
3659	0.892967906242
5485	0.770121189102
7312	0.673232096777
10964	0.475799128633

CMT.SGD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999873358506
3	0.999810041769
34	0.996870402492
92	0.992659487163
183	0.985578863704
367	0.971851277955
732	0.946547706453
1097	0.92073699603
1463	0.895482928253
1828	0.868808537657
2558	0.816561705063
2924	0.793050693518
3289	0.772363989637
3654	0.751212903571
5480	0.647022235855
7307	0.57155973035
9133	0.50006685378
10959	0.435652167413

CMT.USD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999733404425
3	0.999600124409
34	0.995838569133
92	0.988929351263
183	0.978866153295
367	0.959474077825
732	0.919184225693
1097	0.880441208689
1463	0.841233980703
1828	0.804550688436
2193	0.767423544429
2558	0.732239205493
2924	0.699340403515
3289	0.664929578619
3654	0.63387227171
5480	0.488283258762
7307	0.374455804357
10959	0.241166627221

CORRA.ASIA.CAD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999818663026
9	0.999186301285
16	0.998554356423
34	0.996961398971
62	0.99457873179
92	0.992112800589
122	0.989731536137
153	0.98732000328
183	0.985030321843
275	0.978377716407
367	0.971829960173
734	0.946282132652
1099	0.92163216648
1463	0.897552873222
1828	0.873183472317
2558	0.821556718801
3654	0.743408320426
4385	0.693209074719
5481	0.623886538728
7308	0.528782530107
9135	0.461854444435
10961	0.409856376783

ESTR.ASIA.EUR|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999838081777
3	0.999757129221
10	0.999191122144
17	0.998625561631
34	0.997254440254
62	0.99519794223
93	0.993144278046
125	0.991190749403
154	0.989546656965
184	0.987933421287
216	0.986252720023
246	0.984713719276
276	0.983206708283
307	0.981675217097
337	0.980218141495
370	0.978638990104
549	0.970059013402
734	0.960786085931
1098	0.941768098349
1464	0.921553758424
1829	0.90136009154
2194	0.881029754876
2561	0.860272729277
2925	0.839731540649
3290	0.81910416343
3655	0.798533373619
4020	0.778012384584
4388	0.757658362133
5481	0.700545538832
7308	0.626190376608
9134	0.571115776192
10961	0.526302977252
14615	0.451694939877
18265	0.400949094056

ESTR.EUR|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999838081777
3	0.999757129221
10	0.999191267777
17	0.998625464653
34	0.997254440254
62	0.99519794223
93	0.993139591836
125	0.991188251719
154	0.989531456827
184	0.987910843321
216	0.986227679855
246	0.98469309728
276	0.98317737894
307	0.981650798389
337	0.980189163693
370	0.978595045344
549	0.970023694792
734	0.960687541776
1098	0.941516058371
1464	0.921561688002
1829	0.901367992863
2194	0.88103761845
2561	0.860280559071
2925	0.839739321312
3290	0.819111887739
3655	0.798541033182
4020	0.778019973544
4388	0.757665866711
5481	0.700552711086
7308	0.626196698778
9134	0.571121230192
10961	0.526307691447
14615	0.451698547056
18265	0.400951877289

GA_FD.ASIA.USD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999751926
3	0.999627904388
10	0.998774050233
34	0.995817705852
62	0.992304519521
93	0.988349819884
184	0.977466656891
276	0.966912098578
370	0.956409197018
458	0.94676109439
549	0.936886634839
734	0.917123058899
1098	0.879390835481
1464	0.843183914357
1829	0.808537917945
2194	0.774862358023
2561	0.742345813042
2925	0.711366710726
3290	0.681419430427
3655	0.652439360454
4388	0.597054200463
5481	0.522771797225
7308	0.423183961468
9134	0.351358710181
10961	0.297545309016
14615	0.225776833873
18265	0.182535984158

GA_CCSDF.ASIA.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.99976224832
3	0.999643386613
93	0.98849538787
184	0.978183048569
276	0.968078876909
370	0.95817364677
734	0.921182817718
1099	0.885385880046
1464	0.848991043972
1829	0.812569464241
2194	0.775215042794
2561	0.737984292321
2926	0.701835625124
3290	0.666736981743
3655	0.633038878423
4388	0.569925932908
5481	0.488328455572
7308	0.386444403704
9135	0.323166396674
10961	0.280327836497

GA_CCSDF.ASIA.CAD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999818663026
3	0.999728002761
370	0.970301700118
734	0.943314817075
1099	0.916749071081
1464	0.890438248616
1829	0.863750948869
2194	0.834970291236
2561	0.806937054371
2926	0.777747390633
3290	0.749769364664
3655	0.722472638749
4388	0.669817151141
5481	0.598579558137
7308	0.504115330378
9135	0.438853620074
10961	0.39138283024

SARON.ASIA.CHF|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.999962008443
6	0.99992401833
13	0.999838010043
20	0.999752074859
37	0.999543150742
65	0.999200208801
97	0.99896193474
126	0.998895987876
157	0.998798116218
188	0.998757635871
218	0.998857876278
251	0.99891279255
279	0.998986531907
310	0.99909088754
342	0.999056836996
371	0.999278130747
462	0.999488553644
552	0.999545123667
644	0.999469778353
736	0.999366757273
1101	0.996917222861
1469	0.994856354064
1833	0.991126108471
2197	0.986110303026
2562	0.980283372886
2928	0.973762841969
3293	0.967845159713
3660	0.96179777561
4389	0.946057186331
5484	0.924868730076
7311	0.897566909195
9137	0.8808175462
10963	0.870567915105

GA_CCSDF.ASIA.CHF|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.999966726107
6	0.999933453322
97	0.998727369292
188	0.998202938497
279	0.998155394486
371	0.998293884391
736	0.997457502993
1101	0.994291667284
1469	0.991662372791
1833	0.987532106681
2197	0.982350438967
2562	0.976536646735
2928	0.97030590457
3293	0.964650496265
3660	0.959757444036
4389	0.945996394326
5484	0.928773416196
7311	0.912110520236
9137	0.899719057856
10963	0.893595986646

GA_CCSDF.ASIA.CNH|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999865354798
3	0.999808753681
184	0.981499071503
282	0.973207117691
370	0.966139422635
549	0.951370026247
734	0.935838935636
1099	0.905703751831
1464	0.876449187309
1829	0.8481144
2561	0.793592603708
3655	0.717815487684

GA_CCSDF.ASIA.EUR|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999837987363
3	0.999756987608
93	0.992523492423
184	0.98667332713
276	0.981306408236
370	0.976171961575
462	0.971179675147
734	0.955967045138
1098	0.934591470365
1464	0.912005246679
1829	0.889527716837
2194	0.867104047847
2561	0.844341564392
2925	0.821813545141
3290	0.799474511016
3655	0.777304801989
4388	0.733932276147
5481	0.673547538479
7308	0.592343164959
9134	0.527550596193
10961	0.472970914426
14615	0.373451031049
18265	0.303936238487

SONIA.ASIA.GBP|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.99974253206
7	0.999099116433
14	0.998199013787
31	0.996015875101
59	0.992528649496
90	0.988720235309
120	0.985062458897
150	0.981481857442
181	0.977830163697
212	0.974215210608
241	0.970902842473
273	0.967294993819
304	0.963831877655
332	0.960753559289
365	0.957159273792
546	0.93804389033
730	0.919371118629
1095	0.884206945964
1459	0.851055581092
1826	0.818921685684
2191	0.787941087602
2556	0.757533290264
2922	0.727526550511
3286	0.698085569147
3650	0.669116221345
4383	0.612569951733
5477	0.535320710737
7304	0.428546009941
9131	0.347028783377
10957	0.285795252354
14610	0.202854345278
18262	0.15415963092

GA_CCSDF.ASIA.GBP|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999715281088
3	0.999572941901
93	0.98760512169
184	0.976001177128
276	0.964746861315
370	0.953716274751
462	0.943313129334
734	0.913649817353
1099	0.876451167274
1464	0.841644278349
1829	0.808379843207
2194	0.776269540787
2561	0.744744324247
2926	0.714026270322
3290	0.683905267544
3655	0.654345650312
4388	0.59771120196
5481	0.522111744574
7308	0.420611226613
9135	0.344087399405
