ValDate	SecId	ScenGRID	RiskFactor	PV	Delta
2025-04-30	8347372_0	BaseCase	GridBase	-4048843.3490	-211859.1600
2025-04-30	8347372_0	BaseCase	3mSurv	-4048843.3490	0.0000
2025-04-30	8347372_0	BaseCase	6mSurv	-4048843.3490	78.2776
2025-04-30	8347372_0	BaseCase	1ySurv	-4048843.3490	244.4361
2025-04-30	8347372_0	BaseCase	2ySurv	-4048843.3490	-182480.0829
2025-04-30	8347372_0	BaseCase	3ySurv	-4048843.3490	-29738.8312
2025-04-30	8347372_0	BaseCase	5ySurv	-4048843.3490	0.0000
2025-04-30	8347372_0	BaseCase	7ySurv	-4048843.3490	0.0000
2025-04-30	8347372_0	BaseCase	10ySurv	-4048843.3490	0.0000
2025-04-30	8347372_0	BaseCase	20ySurv	-4048843.3490	0.0000
2025-04-30	8347372_0	BaseCase	30ySurv	-4048843.3490	0.0000
2025-04-30	8347372_0	Up100	GridBase	-24888454.8761	-204935.7221
2025-04-30	8347372_0	Up100	3mSurv	-24888454.8761	0.0000
2025-04-30	8347372_0	Up100	6mSurv	-24888454.8761	475.2595
2025-04-30	8347372_0	Up100	1ySurv	-24888454.8761	1497.3659
2025-04-30	8347372_0	Up100	2ySurv	-24888454.8761	-177888.2912
2025-04-30	8347372_0	Up100	3ySurv	-24888454.8761	-29019.7164
2025-04-30	8347372_0	Up100	5ySurv	-24888454.8761	0.0000
2025-04-30	8347372_0	Up100	7ySurv	-24888454.8761	0.0000
2025-04-30	8347372_0	Up100	10ySurv	-24888454.8761	0.0000
2025-04-30	8347372_0	Up100	20ySurv	-24888454.8761	0.0000
2025-04-30	8347372_0	Up100	30ySurv	-24888454.8761	0.0000
2025-04-30	8347373_0	BaseCase	GridBase	-812952.2451	-81546.7970
2025-04-30	8347373_0	BaseCase	3mSurv	-812952.2451	0.0000
2025-04-30	8347373_0	BaseCase	6mSurv	-812952.2451	38.5038
2025-04-30	8347373_0	BaseCase	1ySurv	-812952.2451	-24349.1705
2025-04-30	8347373_0	BaseCase	2ySurv	-812952.2451	-50040.9578
2025-04-30	8347373_0	BaseCase	3ySurv	-812952.2451	-7508.4280
2025-04-30	8347373_0	BaseCase	5ySurv	-812952.2451	0.0000
2025-04-30	8347373_0	BaseCase	7ySurv	-812952.2451	0.0000
2025-04-30	8347373_0	BaseCase	10ySurv	-812952.2451	0.0000
2025-04-30	8347373_0	BaseCase	20ySurv	-812952.2451	0.0000
2025-04-30	8347373_0	BaseCase	30ySurv	-812952.2451	0.0000
2025-04-30	8347373_0	Up100	GridBase	-8898841.6483	-79823.2905
2025-04-30	8347373_0	Up100	3mSurv	-8898841.6483	0.0000
2025-04-30	8347373_0	Up100	6mSurv	-8898841.6483	221.2011
2025-04-30	8347373_0	Up100	1ySurv	-8898841.6483	-23511.2242
2025-04-30	8347373_0	Up100	2ySurv	-8898841.6483	-49149.3288
2025-04-30	8347373_0	Up100	3ySurv	-8898841.6483	-7383.8599
2025-04-30	8347373_0	Up100	5ySurv	-8898841.6483	0.0000
2025-04-30	8347373_0	Up100	7ySurv	-8898841.6483	0.0000
2025-04-30	8347373_0	Up100	10ySurv	-8898841.6483	0.0000
2025-04-30	8347373_0	Up100	20ySurv	-8898841.6483	0.0000
2025-04-30	8347373_0	Up100	30ySurv	-8898841.6483	0.0000
2025-04-30	8347376_0	BaseCase	GridBase	-3210931.2016	-163455.3683
2025-04-30	8347376_0	BaseCase	3mSurv	-3210931.2016	0.0000
2025-04-30	8347376_0	BaseCase	6mSurv	-3210931.2016	73.5229
2025-04-30	8347376_0	BaseCase	1ySurv	-3210931.2016	-48558.3158
2025-04-30	8347376_0	BaseCase	2ySurv	-3210931.2016	-99967.6029
2025-04-30	8347376_0	BaseCase	3ySurv	-3210931.2016	-15002.8110
2025-04-30	8347376_0	BaseCase	5ySurv	-3210931.2016	0.0000
2025-04-30	8347376_0	BaseCase	7ySurv	-3210931.2016	0.0000
2025-04-30	8347376_0	BaseCase	10ySurv	-3210931.2016	0.0000
