HoldingsDate	AssetId	ScenId	Portfolio	PortfolioId	SecId	Instrument	SecType	Currency	PayRec	StartDate	EndDate	PaymentPeriod	Notnl	Ratebps	DiscountCurve	ProjectionCurve	RecoveryRatePct	PaymentConv	YieldBasis	HolidaySchedule	UpfrontPayment	UpfrontPaymentDate
4/30/2025	614781	1	S4946GAF	11033	8347372_0	CDS-C	ProtectionLeg	JPY	Pay	2022-03-22	2027-06-20	3m	1000000000	0	TONAR.ASIA.JPY	Surv_ORIXC_SNRFOR_CR14_100bp.JPY	35	Mod. Follow	Act/360	LNB+TKB+NYB	-30042596	2022-04-21
4/30/2025	614782	1	S4946GAF	11033	8347373_0	CDS-C	ProtectionLeg	JPY	Pay	2021-12-20	2026-12-20	3m	500000000	0	TONAR.ASIA.JPY	Surv_Panas_SNRFOR_CR14_100bp.JPY	35	Mod. Follow	Act/360	LNB+TKB+NYB	-16947268	2022-03-24
4/30/2025	614785	1	S4946GAF	11033	8347376_0	CDS-C	ProtectionLeg	JPY	Pay	2021-12-20	2026-12-20	3m	1000000000	0	TONAR.ASIA.JPY	Surv_Honda_SNRFOR_CR14_100bp.JPY	35	Mod. Follow	Act/360	LNB+TKB+NYB	-29447849	2022-03-16
4/30/2025	614786	1	S4946GAF	11033	8347377_0	CDS-C	ProtectionLeg	JPY	Pay	2021-12-20	2026-12-20	3m	500000000	0	TONAR.ASIA.JPY	Surv_SonyG_SNRFOR_CR14_100bp.JPY	35	Mod. Follow	Act/360	LNB+TKB+NYB	-18903792	2022-03-24
4/30/2025	614787	1	S4946GAF	11033	8347378_0	CDS-C	ProtectionLeg	JPY	Pay	2022-03-22	2027-06-20	3m	500000000	0	TONAR.ASIA.JPY	Surv_Honda_SNRFOR_CR14_100bp.JPY	35	Mod. Follow	Act/360	LNB+TKB+NYB	-15184686	2022-05-16
4/30/2025	614788	1	S4946GAF	11033	8347399_0	CDS-C	ProtectionLeg	JPY	Pay	2022-03-22	2027-06-20	3m	500000000	0	TONAR.ASIA.JPY	Surv_ORIXC_SNRFOR_CR14_100bp.JPY	35	Mod. Follow	Act/360	LNB+TKB+NYB	-14002908	2022-05-31
4/30/2025	614789	1	S4946GAF	11033	8347401_0	CDS-C	ProtectionLeg	JPY	Pay	2022-03-22	2027-06-20	3m	500000000	0	TONAR.ASIA.JPY	Surv_SumitoRealty_SNRFOR_CR14_10	35	Mod. Follow	Act/360	LNB+TKB+NYB	-17621572	2022-05-31
4/30/2025	614790	1	S4946GAF	11033	8347402_0	CDS-C	ProtectionLeg	JPY	Pay	2022-06-21	2027-06-20	3m	500000000	0	TONAR.ASIA.JPY	Surv_SumitoRealty_SNRFOR_CR14_10	35	Mod. Follow	Act/360	LNB+TKB+NYB	-11370166	2022-06-23
4/30/2025	614791	1	S4946GAF	11033	8347403_0	CDS-C	ProtectionLeg	JPY	Pay	2022-06-21	2027-06-20	3m	500000000	0	TONAR.ASIA.JPY	Surv_ORIXC_SNRFOR_CR14_100bp.JPY	35	Mod. Follow	Act/360	LNB+TKB+NYB	-7524131	2022-07-07
4/30/2025	614792	1	S4946GAF	11033	8347404_0	CDS-C	ProtectionLeg	JPY	Pay	2022-06-21	2027-06-20	3m	500000000	0	TONAR.ASIA.JPY	Surv_SumitoRealty_SNRFOR_CR14_10	35	Mod. Follow	Act/360	LNB+TKB+NYB	-10014326	2022-07-08
