HoldingsDate	AssetId	ScenId	Portfolio	PortfolioId	Currency	SecId	Instrument	SecType	SideType	PutCall	StartDate	MaturityDate	SettleDate	PayFreqDays	ResetFreqDays	CompFreqDays	AvgFreqDays	Notional	SwapRate	LockPrice	Ticker	DiscountCurve	ProjectionCurve	SettleLag	LagDayType	DateRoll	CalcDateRoll	RollConvention	RollDirection	DayCount	IdxSpread	CompType	PaymentCalendar	ResetCalendar	FixingCalendar	FixingLag	IndexName	IndexTenor	FrontRollDate	BackRollDate	EndDateAdjustment	IsNotionalExchanged	ProfileModified
3/31/2024	95124	1	H28NTGAF	9067	USD	6624652_1	CS	CFixedLeg	Receive	None	3/7/20	3/7/25	2/19/20	30	0	None	0	7576331.54	0.027115	0	None	GA_FD.USD	GA_FD.USD	0	LAG_CALENDAR	Follow	None	Normal - EOM	Forward	30/360 Fixed	0	NoSpread	NYB+TRB	NULL	NULL	2	GA_FD.USD	0	None	None	Follow	TRUE	229376
3/31/2024	8027	1	S4935GAD	11025	USD	6305206_1	CS	MFixedLeg	Pay	None	3/25/19	3/25/29	3/25/19	180	0	None	0	39103116.62	0.0392	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Mod. Follow	Mod. Follow	Normal - EOM	Forward	30/360	0	NoSpread	NYB+TKB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Mod. Follow	TRUE	0
3/31/2024	8031	1	H28MWGAD	9049	USD	6310011_0	CS	MFixedLeg	Pay	None	3/27/20	3/27/29	3/27/20	180	0	None	0	30000000	0.0344	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Mod. Follow	None	Normal - EOM	Forward	30/360 Fixed	0	NoSpread	HKB+NYB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	None	TRUE	229376
3/31/2024	7648	1	S14FAGAD	9368	USD	5859181_0	CS	MFixedLeg	Pay	None	11/30/17	11/30/24	11/29/17	180	0	None	0	6000000	0.0344	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Follow	None	Normal - No EOM	Forward	30/360 Fixed	0	NoSpread	LNB+NYB+SIB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Mod. Follow	TRUE	229376
3/31/2024	31211	1	H28PDGAF	9076	USD	5854803_1	CS	MFixedLeg	Receive	None	11/15/17	3/31/39	11/15/17	180	0	None	0	9162300	0.043235	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Follow	Follow	Normal - EOM	Forward	30/360	0	NoSpread	HKB+LNB+NYB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Follow	TRUE	229376
3/31/2024	31220	1	H28PDGAF	9076	USD	5858593_1	CS	MFixedLeg	Receive	None	11/21/17	3/31/39	11/21/17	180	0	None	0	7815730	0.0435	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Follow	Follow	Normal - EOM	Forward	30/360	0	NoSpread	HKB+LNB+NYB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Follow	TRUE	229376
3/31/2024	31222	1	H28SNGAF	12126	USD	5858595_1	CS	MFixedLeg	Receive	None	11/23/17	11/23/27	11/22/17	180	0	None	0	41282500	0.03297	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Follow	Follow	Normal - EOM	Forward	30/360	0	NoSpread	HKB+LNB+TGT	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	None	TRUE	0
3/31/2024	7608	1	H28MWGAD	9049	USD	5800510_1	CS	MFixedLeg	Pay	None	9/29/17	9/29/27	9/29/17	180	0	None	0	11397543.77	0.0437	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Mod. Follow	None	Normal - EOM	Forward	30/360 Fixed	0	NoSpread	HKB+NYB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Mod. Follow	TRUE	229376
3/31/2024	7609	1	S4943GAF	11032	USD	5804375_1	CS	MFixedLeg	Pay	None	10/5/17	10/5/24	10/5/17	180	0	None	0	10138700	0.03	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Mod. Follow	Mod. Follow	Normal - EOM	Forward	30/360	0	NoSpread	NYB+SYB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Mod. Follow	TRUE	0
3/31/2024	7613	1	S14ACGAD	9281	USD	5835944_1	CS	MFixedLeg	Pay	None	10/17/17	10/17/24	10/17/17	180	0	None	0	4801300.04	0.0312	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Mod. Follow	Mod. Follow	Normal - EOM	Forward	30/360	0	NoSpread	NYB+SIB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Mod. Follow	TRUE	196608
3/31/2024	7614	1	H28MWGAD	9049	USD	5836021_1	CS	MFixedLeg	Pay	None	10/17/17	10/17/27	10/17/17	180	0	None	0	47260431.88	0.0461	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Mod. Follow	Mod. Follow	Normal - EOM	Forward	30/360	0	NoSpread	HKB+NYB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Mod. Follow	TRUE	229376
3/31/2024	7615	1	S4943GAF	11032	USD	5841325_1	CS	MFixedLeg	Pay	None	10/20/17	10/20/37	10/20/17	180	0	None	0	7855000	0.015	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Mod. Follow	Mod. Follow	Normal - EOM	Forward	30/360	0	NoSpread	NYB+SYB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Mod. Follow	TRUE	0
3/31/2024	7624	1	S14FAGAD	9368	USD	5844418_1	CS	MFixedLeg	Pay	None	10/26/17	10/26/27	10/26/17	180	0	None	0	39526853.28	0.0344	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Mod. Follow	Mod. Follow	Normal - EOM	Forward	30/360	0	NoSpread	NYB+SIB	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Mod. Follow	TRUE	196608
3/31/2024	31188	1	H28SQGAF	12099	USD	5816252_1	CS	MFixedLeg	Receive	None	10/19/17	9/23/27	10/18/17	180	0	None	0	7819000	0.03145	0	None	GA_FD.USD	GA_FD.USD	0	LAG_CALENDAR	Follow	Follow	Normal - EOM	Forward	30/360	0	NoSpread	AUB+HKB+NYB+SYB	NULL	NULL	2	GA_FD.USD	0	None	None	Follow	TRUE	229376
3/31/2024	31193	1	H28PFGAF	9078	USD	5841982_1	CS	MFixedLeg	Receive	None	10/27/17	4/26/30	10/26/17	180	0	None	0	7673250	0.03214	0	None	GA_FD.ASIA.USD	GA_FD.ASIA.USD	0	LAG_CALENDAR	Follow	Follow	Normal - EOM	Forward	30/360	0	NoSpread	HKB+LNB+NYB+TGT	NULL	NULL	2	GA_FD.ASIA.USD	0	None	None	Follow	TRUE	229376
