SOFR.USD|20250331|ZeroCurve
DayOffset	DiscFactor
0	1
1	0.999879458976
2	0.999758932483
9	0.998920938263
16	0.998081766971
23	0.997247071131
32	0.996173269062
63	0.992514412637
93	0.989040512531
126	0.985325026597
155	0.982161091813
185	0.97895632393
217	0.975636324363
246	0.972703850373
277	0.969641938057
308	0.966629775192
336	0.963964264605
367	0.961040681027
550	0.944474446381
732	0.928497686843
1099	0.89656532706
1463	0.865050576411
1828	0.833803980304
2193	0.802956133813
2559	0.772673741034
2926	0.743102015649
3290	0.714480171033
3654	0.686532851007
4385	0.632553844919
5481	0.558508526353
7308	0.456906380663
9135	0.381935419219
10959	0.325930997689
14612	0.251757853398
18264	0.207154875819

