BaseCase|GridBase|SOFR.USD|20250331|ZeroCurve
DayOffset	DiscFactor
0	1
1	0.999879458976
2	0.999758932483
9	0.998920938263
16	0.998081766971
23	0.997247071131
32	0.996173269062
63	0.992514412637
93	0.989040512531
126	0.985325026597
155	0.982161091813
185	0.97895632393
217	0.975636324363
246	0.972703850373
277	0.969641938057
308	0.966629775192
336	0.963964264605
367	0.961040681027
550	0.944474446381
732	0.928497686843
1099	0.89656532706
1463	0.865050576411
1828	0.833803980304
2193	0.802956133813
2559	0.772673741034
2926	0.743102015649
3290	0.714480171033
3654	0.686532851007
4385	0.632553844919
5481	0.558508526353
7308	0.456906380663
9135	0.381935419219
10959	0.325930997689
14612	0.251757853398
18264	0.207154875819

Up100|GridBase|SOFR.USD|20250331|ZeroCurve
DayOffset	DiscFactor
0	1
1	0.999851688666
2	0.999703399329
9	0.998671428311
16	0.997639007101
23	0.996611781269
32	0.995291500196
63	0.990792604211
93	0.986518609895
126	0.98193689862
155	0.978023102761
185	0.974053535165
217	0.969929265137
246	0.966277835906
277	0.962457448996
308	0.958697188298
336	0.955364409256
367	0.951711693499
550	0.930658474892
732	0.91058778221
1099	0.870719603329
1463	0.832001962837
1828	0.794178396896
2193	0.757374649996
2559	0.721709496643
2926	0.687297278896
3290	0.654396186523
3654	0.622665252055
4385	0.562474638985
5481	0.482055226965
7308	0.375405075037
9135	0.299436820493
10959	0.244639109645
14612	0.175317811777
18264	0.13621392529

